NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"Intl. Conf. on Digital Signal Processing","","","","Santorini","",0
"Intl. Conf. on Digital Signal Processing","","","","Santorini","",1
"International Symposium on BIOMEDICAL IMAGING: From Nano to Macro (ISBI)","","","","San Francisco, CA","",2
"Computational Modelling of Objects Represented in Images: Fundamentals, Methods and Applications","","","","Pittsburg","",3
"Iberoamerican Congress on Pattern Recognition","","","","São Paulo","",4
"International Conference on Bio-Inspired Systems and Signal Processing","","","","Funchal","",5
"International Conference on Pattern Recognition","","","","Istanbul","",6
"29th SIBGRAPI - Conference on Graphics, Patterns, and Images (SI","","","","São José dos Campos","",7
"V Eccomas Thematic Conf. on Computational Vision and Medical Image Processing","","","","Tenerife","",8
"2014 22nd International Conference on Pattern Recognition (ICPR)","","","","Stockholm","",9
"SPIE on Medical Imaging","","","","Orlando, FL","",10
"SPIE Medical Imaging","","","","San Diego","",11
"SPIE on Medical Imaging","","","","Lake Buena Vista","",12
"Intl Conf. on Medical Image Computing and Computer-Assisted Intervention (MICCAI)","","","","Boston","",13
"Intl. Symp. on Biomedical Imaging","","","","Paris","",14
"Intl. Workshop on Combinatorial Image Analysis","","","","Buffalo","",15
"26o. Colóquio de Matemática Aplicada do IMPA","","","","Rio de Janeiro","",16
"Intl. Conf. on Digital Signal Processing","","","","Santorini","",17
"III Congresso da Sociedade Paulista de Parasitologia","","","","Ubatuba","",18
"8th Intl. Conf. on Advanced Concepts for Intelligent Vision Systems (ACIVS)","","","","Antuérpia","",19
