TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
IEEE Transactions on Medical Imaging (Print),02780062,19,1,1,55,62,USA,0
SMPTE Journal (1976) (Cessou em 2002. Cont. ISSN 1545-0279 SMPTE Motion Imaging Journal),00361682,108,12,12,865,872,EUA,1
Medical Image Analysis,13618415,4,4,4,389,402,Elsevier Press,2
Pattern Recognition,00313203,35,7,7,1571,1582,Elsevier Science,3
Knowledge and Information Systems,02191377,5,3,3,315,336,,4
Graphical Models (Print),15240703,64,5,5,259,281,Academic Press,5
IEEE Transactions on Pattern Analysis and Machine Intelligence,01628828,26,1,1,19,29,,6
IEEE Transactions on Medical Imaging (Print),02780062,23,1,1,63,72,,7
Pattern Recognition,00313203,37,6,6,1163,1174,USA,8
IEEE Transactions on Medical Imaging (Print),02780062,23,9,9,1100,1108,USA,9
Computerized Medical Imaging and Graphics,08956111,30,,4,217,230,"Elsevier, to appear",10
Revista de Informática Teórica e Aplicada: RITA,21752745,13,,2,161,185,,11
Image and Vision Computing,02628856,25,,1,3,13,,12
Journal of Mathematical Imaging and Vision,09249907,29,,2-3,141,162,,13
EURASIP Journal on Advances in Signal Processing (Print),16876172,2008,,,1,16,,14
Pattern Recognition,00313203,42,,2,283,292,,15
Bio Farma,18095577,3,,6,44,53,,16
International Journal of Imaging Systems and Technology,08999457,19,,2,50,68,,17
International Journal of Imaging Systems and Technology (Print),08999457,19,,2,120,131,,18
EURASIP Journal on Advances in Signal Processing (Print),16876172,2008,,,1,15,,19
Pattern Recognition,00313203,43,,1,26,36,,20
Journal of Mathematical Imaging and Vision,09249907,35,,2,128,142,,21
Computer Vision and Image Understanding,10773142,114,,1,85,99,,22
SPIE Newsroom,18182259,,,,1,3,,23
IEEE Geoscience and Remote Sensing Letters (Print),1545598X,7,,2,396,400,,24
"Journal of WSCG (Plzen, Print)",12136972,18,,1-3,73,80,,25
Journal of Next Generation Information Technology,20928637,1,,,77,85,,26
Revista Brasileira de Meteorologia (Impresso),01027786,25,,1,13,23,,27
Computer Vision and Image Understanding (Print),10773142,116,,4,510,523,,28
Computer Speech & Language (Print),08852308,24,,3,445,460,,29
IEEE Transactions on Geoscience and Remote Sensing,01962892,50,,,3764,3775,,30
IEEE Transactions on Power Systems,08858950,26,,1,181,189,,31
IEEE Transactions on Power Delivery,08858977,27,,1,140,146,,32
IEEE Transactions on Image Processing,10577149,21,,6,3042,3052,,33
Computer Vision and Image Understanding (Print),10773142,116,,2,274,291,,34
Graphical Models (Print),15240703,60,,4,233,260,,35
Journal of Mathematical Imaging and Vision (Dordrecht. Online),15737683,44,,3,375,398,,36
Computer Vision and Image Understanding (Print),10773142,116,,10,1047,1059,,37
Pattern Recognition,00313203,44,,12,2971,2978,,38
Pattern Recognition,00313203,45,,1,512,520,,39
Revista Brasileira de Parasitologia Veterinária (Online),19842961,22,,1,1,5,,40
Expert Systems with Applications,09574174,40,,2,590,597,,41
International Journal of Pattern Recognition and Artificial Intelligence,02180014,26,,02,1265001,,,42
Medical Image Analysis (Print),13618415,17,,8,1046,1057,,43
Computers & Geosciences,00983004,57,,,146,157,,44
Medical Image Analysis (Print),13618415,18,,5,752,771,,45
Expert Systems with Applications,09574174,41,,14,6086,6097,,46
Plant Physiology (Bethesda),00320889,165,,2,479,495,,47
Pattern Recognition Letters,01678655,40,,,121,127,,48
IEEE Transactions on Geoscience and Remote Sensing,01962892,52,,10,6075,6085,,49
IEEE Transactions on Information Forensics and Security,15566013,9,,12,1,1,,50
IEEE Transactions on Image Processing,10577149,23,,12,1,1,,51
Information Sciences,00200255,294,,,95,108,,52
ELCVIA. Electronic letters on computer vision and image analysis,15775097,13,,3,13,27,,53
Plant Physiology (Bethesda),00320889,166,,2,659,677,,54
IEEE Transactions on Information Forensics and Security,15566013,10,,4,864,879,,55
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,21511535,6,,4,2020,2034,,56
Information Sciences,00200255,324,,,60,87,,57
Pattern Recognition,00313203,48,,11,3572,3583,,58
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,21511535,7,,12,4632,4643,,59
IEEE Transactions on Biomedical Engineering,15582531,60,,3,803,812,,60
Revista Brasileira de Parasitologia Veterinária (Online),19842961,24,,2,223,226,,61
Medical Physics (Lancaster),00942405,43,,1,401,410,,62
Nature Communications,20411723,7,,,10527,,,63
Journal of Integrative Plant Biology (Print),16729072,58,,3,230,241,,64
Plos One,19326203,10,,6,e0129947,1--23,,65
Preventive Veterinary Medicine (Print),01675877,134,,,1,5,,66
Journal of Clinical Laboratory Analysis (Print),08878013,30,,4,293,300,,67
Pattern Recognition,00313203,43,,1,26,36,,68
IEEE J-STARS,19391404,7,,12,1,12,,69
Pattern Recognition,00313203,60,,,72,85,,70
IEEE J-STARS,19391404,7,,12,1,12,,71
Computer Vision and Image Understanding (Print),10773142,116,,2,274,291,,72
PATTERN RECOGNITION LETTERS,01678655,87,,1,117,126,,73
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,10772626,23,,1,101,110,,74
Computers & Electrical Engineering,00457906,37,,6,886,894,,75
Revista do Instituto de Medicina Tropical de São Paulo,16789946,,,,,,,
Computer Methods in Biomechanics and Biomedical Engineering: Imaging & Visualization,21681163,,,,,,,
