ENSINO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,TIPO-ENSINO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,NOME-CURSO,ATIVIDADES-DE-ENSINO_Id
0,2,ANTERIOR,GRADUACAO,3,1998,7,1998,Engenharia de Computação,0
1,3,ANTERIOR,POS-GRADUACAO,8,1998,12,1998,Ciência da Computação,0
2,11,ANTERIOR,POS-GRADUACAO,8,1999,12,1999,Ciência da Computação,0
3,12,ANTERIOR,POS-GRADUACAO,3,2001,7,2001,Ciência da Computação,0
4,13,ANTERIOR,POS-GRADUACAO,3,2000,7,2000,Ciência da Computação,0
5,15,ANTERIOR,POS-GRADUACAO,3,2002,7,2002,Ciência da Computação,0
6,17,ANTERIOR,GRADUACAO,8,1998,12,1998,Ciência da Computação,0
7,18,ANTERIOR,GRADUACAO,3,1999,7,1999,Engenharia de Computação,0
8,19,ANTERIOR,GRADUACAO,8,1999,12,1999,Engenharia de Computação,0
9,20,ANTERIOR,GRADUACAO,8,2000,12,2000,Engenharia de Computação,0
10,21,ANTERIOR,GRADUACAO,8,2002,12,2002,Engenharia de Computação,0
11,22,ANTERIOR,GRADUACAO,8,2001,12,2001,Engenharia de Computação,0
12,24,ANTERIOR,GRADUACAO,3,2003,7,2003,Engenharia de Computação,0
13,25,ANTERIOR,POS-GRADUACAO,3,2003,7,2003,Ciência da Computação,0
14,26,ANTERIOR,POS-GRADUACAO,8,2003,12,2003,Ciência da Computação,0
15,27,ANTERIOR,GRADUACAO,3,2004,7,2004,Engenharia de Computação,0
16,28,ANTERIOR,GRADUACAO,8,2004,12,2004,Engenharia de Computação,0
17,29,ANTERIOR,POS-GRADUACAO,8,2004,12,2004,Ciência da Computação,0
18,43,ANTERIOR,GRADUACAO,3,2005,7,2005,Engenharia de Computação,0
19,44,ANTERIOR,GRADUACAO,8,2005,12,2005,Engenharia de Computação,0
20,45,ANTERIOR,POS-GRADUACAO,3,2005,7,2005,Ciência da Computação,0
21,50,ANTERIOR,POS-GRADUACAO,08,2006,12,2006,Doutorado em Ciência da Computação - UNICAMP,0
22,52,ANTERIOR,POS-GRADUACAO,03,2007,04,2007,Ciência da Computação,0
23,53,ATUAL,GRADUACAO,08,2007,,,Engenharia de Computação,0
24,54,ANTERIOR,GRADUACAO,03,2006,07,2006,Engenharia de Computação,0
25,51,ATUAL,POS-GRADUACAO,08,2007,,,Doutorado em Ciência da Computação - UNICAMP,0
