DESCRICAO-SITUACAO-PATENTE,DATA-SITUACAO-PATENTE,STATUS-SITUACAO-PATENTE,DETALHAMENTO-DA-PATENTE_Id
"Depósito","15102009","SIM",0
"Depósito","27072007","SIM",1
"Depósito PCT","08102007","SIM",1
"Concessão","05062008","SIM",1
"Depósito","19122014","SIM",2
"Depósito","22072013","SIM",3
"Depósito PCT","08102007","SIM",4
"Depósito","08102007","SIM",4
"Concessão","05062008","SIM",4
"Depósito","30112006","SIM",5
"Depósito","20062014","SIM",6
"Depósito","22062016","SIM",7
"Depósito","22062016","SIM",8
"Depósito","22122015","SIM",9
