DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,PRODUTO-TECNOLOGICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-POS-DOUTORADO_Id
"Este trabalho recebeu prêmio de menção honrosa nesta conferência.","",1,,,,,,,,,,,,,,,
"Trabalho de Mestrado do aluno Giulliano Paes Carnielli.","",2,,,,,,,,,,,,,,,
"Este trabalho virou contribuição ITU-T 39-12","",3,,,,,,,,,,,,,,,
"1o. Lugar no Concurso de Teses e Dissertações","",46,,,,,,,,,,,,,,,
"Poster 88 in Section: Modeling: Geometry and Surfaces","",47,,,,,,,,,,,,,,,
"1o. lugar no concurso de teses e dissertacoes.","",63,,,,,,,,,,,,,,,
"Indicated among the best 10 student papers for the Caianiello Prize.","",69,,,,,,,,,,,,,,,
"ISSN 2175-2761, entre as 6 melhores teses de doutorado.","",70,,,,,,,,,,,,,,,
"ISSN 2175-2761, 1o. lugar no CTD como tese de doutorado.","",71,,,,,,,,,,,,,,,
"doi 10.1109/ICDSP.2009.5201044","",73,,,,,,,,,,,,,,,
"doi 10.1109/SIBGRAPI.2009.45","",74,,,,,,,,,,,,,,,
"doi 10.1109/ICDSP.2009.5201217","",75,,,,,,,,,,,,,,,
"doi 10.1109/IWSSIP.2009.5367753","",76,,,,,,,,,,,,,,,
"doi 10.1109/IWSSIP.2009.5367752","",77,,,,,,,,,,,,,,,
"doi 10.1109/IWSSIP.2009.5367750","",78,,,,,,,,,,,,,,,
"doi 10.1109/ISAP.2009.5352910","",80,,,,,,,,,,,,,,,
"ISSN 2175-2761 (entre 6 melhores teses de doutorado). 1o lugar no concurso de teses e dissertações do SIBGRAPI 2009.","",83,,,,,,,,,,,,,,,
