PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,SOFTWARE_Id,PRODUTO-TECNOLOGICO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"Visualização Científica","Visualização Volumétrica","Computaçao de Imagens Médicas","processamento de imagens","Computação Gráfica aplicada à Medicina","",0,,,,,,,,,,,
"segmentação de imagens","Programação Dinâmica","algoritmos em grafos","Deteção de Bordas","Segmentação Assistida pelo Usuário","Deteçao de Contornos",,0,,,,,,,,,,
"segmentação de imagens","análise de imagens","recuperação de imagens por conteúdo","visualização de imagens médicas","morfologia matemática","transformadas de imagens",,,0,,,,,,,,,
"Avaliação de vídeo","Boundary Detection","boundary tracking","Image segmentation","user-assisted image segmentation","3D image segmentation",,,,0,,,,,,,,
"Medical imaging","Image segmentation","Boundary Detection","Graph Algorithms","","",,,,,0,,,,,,,
"Volumetric Visualization","Medical imaging","Holography","","","",,,,,1,,,,,,,
"Medical imaging","Volumetric Visualization","Rendering","","","",,,,,2,,,,,,,
"Video Quality Assessment","Video Processing","Image segmentation","","","",,,,,3,,,,,,,
"Medical imaging","Boundary Detection","3D image segmentation","","","",,,,,4,,,,,,,
"segmentação de imagens","Processamento de Vídeo Digital","","","","",,,,,5,,,,,,,
"Boundary Detection","Graph Algorithms","Image segmentation","Medical imaging","","",,,,,6,,,,,,,
"Avaliação de vídeo","Análise Multidimensional de Fourier","Conversores de vídeo composto - vídeo digital","","","",,,,,8,,,,,,,
"Image segmentation","mathematical morphology","video quality evaluation","","","",,,,,9,,,,,,,
"content-based image retrieval","Image segmentation","Hierarquical Clustering","","","",,,,,10,,,,,,,
"Image segmentation","Connected Operators","mathematical morphology","image filtering","","",,,,,11,,,,,,,
"Multiscale Skeletons","shape analysis","Shape Reconstruction","","","",,,,,12,,,,,,,
"Distance Transforms","image analysis","Graph-Search Algorithms","","","",,,,,13,,,,,,,
"Image Retrieval","image processing","","","","",,,,,14,,,,,,,
"processamento de imagens","","","","","",,,,,16,,,,,,,
"Volumetric Visualization","image processing","","","","",,,,,17,,,,,,,
"Visualização 3D","","","","","",,,,,18,,,,,,,
"Visualização 3D","","","","","",,,,,19,,,,,,,
"volume rendering","surface rendering","Volume visualization","Medical imaging","","",,,,,21,,,,,,,
"Watershed Transform","mathematical morphology","Image Foresting Transform","Image segmentation","","",,,,,22,,,,,,,
"volume rendering","surface rendering","Volume visualization","Medical imaging","","",,,,,23,,,,,,,
"Image Retrieval","Image Data Bases","","","","",,,,,24,,,,,,,
"Image Retrieval","Image Data Bases","","","","",,,,,25,,,,,,,
"Volume visualization","volume rendering","shell rendering","shear-warp rendering","surface rendering","Medical imaging",,,,,26,,,,,,,
