NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",0,,,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",1,,,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",2,,,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,0,,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,1,,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,2,,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,3,,,,
"Alexandre Xavier Falcão","Alexandre Xavier Falcão","1","",,4,,,,
"Alexandre Xavier Falcão","Alexandre Xavier Falcão","1","",,5,,,,
"Alexandre Xavier Falcão","Alexandre Xavier Falcão","1","",,6,,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,7,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,8,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,9,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,10,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,11,,,,
"Alexandre Xavier Falcão","Falcão, A.X.","1","",,12,,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,0,,,
"Alexandre Xavier Falcão","Alexandre Xavier Falcão","1","",,,1,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,2,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,3,,,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,4,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,0,,
"Alexandre Xavier Falcão","FALCÃO, A. X.","1","",,,,1,,
"Alexandre Xavier Falcão","Alexandre Xavier Falcão","1","",,,,,0,
"Alexandre Xavier Falcão","Alexandre Xavier Falcão","1","",,,,,1,
"Alexandre Xavier Falcão","Alexandre Xavier Falcão","1","",,,,,2,
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,0
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,1
"Alexandre Xavier Falcão","Alexandre Xavier Falcão","1","",,,,,,2
"Alexandre Xavier Falcão","FALCAO, A. X.","1","",,,,,,3
