NOME-DO-PREMIO-OU-TITULO,NOME-DA-ENTIDADE-PROMOTORA,ANO-DA-PREMIACAO,PREMIOS-TITULOS_Id
Honorable Mention Poster Award in SPIE on Medical Imaging,SPIE,1999,0
Professor Livre Docente em Processamento de Imagens,Universidade Estadual de Campinas,2003,0
"Primeiro Lugar no Concurso de Teses e Dissertações da SBC. Trabalho de Doutorado: R. Torres , Ambiente de gerenciamento de imagens e dados espaciais para desenvolvimento de aplicações ambientais",SBC,2005,0
Prêmio de Excelência Acadêmica 2006,IC-UNICAMP,2008,0
Prêmio de melhor dissertação de mestrado em 2006. Trabalho: P. A. V. de Miranda. Segmentação de Imagens  pela Transformada Imagem-Floresta.,IC-UNICAMP,2008,0
"Primeiro lugar no Concurso de Teses e Dissertações (WTD) , SIBGRAPI 2008. Trabalho de mestrado: F. Andaló, Shape Descritores de Forma baseados em Tensor  Scale.",SBC,2008,0
Prêmio dos cinco melhores artigos em ``Uso de dados do satélite CBERS'' no XIV Brazilian Remote Sensing Symposium. Trabalho: R.J. Pisani et al. Land Use Classification Using Optimum-Path Forest.,INPE,2009,0
"Primeiro lugar no Concurso de Teses e Dissertações da SBC, Tese de Doutorado de Felipe Bergo, Focal Cortical Dysplasia Segmentation in 3D Magnetic Resonance Images of the Human Brain",Sociedade Brasileira de Computação,2009,0
"Primeiro lugar no Concurso de Teses e Dissertações do SIBGRAPI, 2009, com a Tese de Doutorado: Supervised Pattern Recognition using Optimum-Path Forest, de João Paulo Papa.",SBC,2009,0
"Primeiro lugar no Concurso de Teses e Dissertações, Evento 40 anos do IC-UNICAMP, 2009, com o Trabalho do Fábio Cappabianco, Uma metodologia de segmentação de tecidos do cérebro humano em i",IC-UNICAMP,2009,0
"Primeiro lugar no Concurso de Trabalhos de Iniciação Científica, Evento 40 anos do IC-UNICAMP, 2009, com o trabalho do Thiago Spina, Segmetação interativa de imagens naturais baseada na tran",IC-UNICAMP,2009,0
Segundo lugar no CTD do SIBGRAPI 2010 com a tese Synergistic Delineation and Recognition of Objects in Images with Applications in Medicine,SBC - SIBGRAPI,2010,0
Menção honrosa de melhor artigo de estudante no SIBGRAPI 2010 com o trabalho Intelligent understanding of user input applied to arc-weight estimation for graph-based foreground segmentation.,SBC - SIBGRAPI,2010,0
"Prêmio CAPES 2009 de Menção Honrosa pela orientação da Tese de Doutorado de Felipe Bergo, intitulada Focal Cortical Dysplasia Segmentation in 3D Magnetic Resonance Images of the Human Brain.",CAPES,2010,0
Professor Titular em Processamento de Imagens,Universidade Estadual de Campinas (UNICAMP),2011,0
Prêmio Inventores Unicamp 2011 na categoria ``Tecnologia Licenciada'',Universidade Estadual de Campinas - Agência Inova,2011,0
Prêmio Inventores Unicamp 2012 na categoria,Universidade Estadual de Campinas - Agência Inova,2012,0
