TIPO-PATENTE,CODIGO-DO-REGISTRO-OU-PATENTE,TITULO-PATENTE,DATA-PEDIDO-DE-DEPOSITO,DATA-DE-PEDIDO-DE-EXAME,DATA-DE-CONCESSAO,INSTITUICAO-DEPOSITO-REGISTRO,NUMERO-DEPOSITO-PCT,FORMATO-DATA-DEPOSITO-PCT,DATA-DEPOSITO-PCT,NOME-DO-TITULAR,NOME-DO-DEPOSITANTE,DETALHAMENTO-DA-PATENTE_Id
"PRIVILEGIO_DE_INOVACAO_PI","PI09058338","Método de Preparação de Amostra Coproparasitológica Fecal e Composição Clarificante","15102009","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","Universidade Estadual de Campinas",0
"PRIVILEGIO_DE_INOVACAO_PI","PI08022925","Sistema para Diagnóstico de Parasitos Intestinais por Análise Computadorizada de Imagens e Uso do Referido Sistema","27072007","","05062008","INPI - Instituto Nacional da Propriedade Industrial","2007000272","DDMMAAAA","08102007","","Universidade Estadual de Campinas",1
"PRIVILEGIO_DE_INOVACAO_PI","20150178917","Metal Artifacts Reduction for Cone Beam CT using Image Stacking","19122014","","","United States Patent and Trademark Office","","DDMMAAAA","","","",2
"PRIVILEGIO_DE_INOVACAO_PI","20140314291","Detection of Tooth Fractures in CBCT Image","22072013","","","United States Patent and Trademark Office","","DDMMAAAA","","","",3
"PRIVILEGIO_DE_INOVACAO_PI","WO2008064442","A System for Diagnosing Intestinal Parasites by Computerized Image Analysis","08102007","","05062008","WIPO - World Intellectual Property Organization","2008064442","DDMMAAAA","08102007","","Universidade Estadual de Campinas",4
"PRIVILEGIO_DE_INOVACAO_PI","PI06054650","Sistema para diagnóstico de parasitos intestinais por análise computadorizada de imagens","30112006","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","Universidade Estadual de Campinas",5
"PRIVILEGIO_DE_INOVACAO_PI","20150348259","QUANTITATIVE METHOD FOR 3-D BONE MINERAL DENSITY VISUALIZATION AND MONITORING","20062014","","","United States Patent and Trademark Office","","DDMMAAAA","","","",6
"PRIVILEGIO_DE_INOVACAO_PI","BR1020160147875","Processo Operacional para Aplicação de Método de Pesquisa em Microscopia Optica de Amostra de Material Biológico, Notadamente Fezes e Afins, com Resultados de Natureza Qualitativa e Quantitativa com Fator de Conversão de Ovos por Grama de Fezes (OPG).","22062016","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","Universidade Estadual de Campinas",7
"PRIVILEGIO_DE_INOVACAO_PI","BR1020160147867","Composição Corante Padronizada Aplicada em Processo Operacional para Pesquisa em Microscopia Óptica de Amostra de Material Biológico, Notadamente Fezes e Afins, com Resultados de Natureza Qualitativa para Identificação de Parasitos Intestinais, e Processo Resultante","22062016","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","Universidade Estadual de Campinas",8
"PRIVILEGIO_DE_INOVACAO_PI","BR1020150325630","Dispositivo de Flotação e o seu Uso","22122015","","","INPI - Instituto Nacional da Propriedade Industrial","","DDMMAAAA","","","Universidade Estadual de Campinas",9
