SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,SOFTWARE_Id,PRODUTO-TECNOLOGICO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Educação","Informática","",0,,,,,,,
"Informática","Educação","",,0,,,,,,
"Neurociências","Desenvolvimento de Programas (Software)","Produtos e Processos Biotecnológicos Vinculados À Saúde Humana Ou dos Animais",,,0,,,,,
"Informática","","",,,,0,,,,
"Informática","","",,,,1,,,,
"Informática","","",,,,2,,,,
"Fabricação de Aparelhos e Equipamentos de Telecomunicação","","",,,,3,,,,
"Informática","","",,,,4,,,,
"Informática","Fabricação de Aparelhos e Equipamentos de Telecomunicação","",,,,5,,,,
"Informática","","",,,,6,,,,
"Informática","","",,,,7,,,,
"Informática","","",,,,8,,,,
"Informática","","",,,,9,,,,
"Desenvolvimento de Programas (Software)","Neurociências","",,,,32,,,,
"Desenvolvimento de Programas (Software)","","",,,,33,,,,
"Informática","","",,,,,0,,,
"Informática","Fabricação de Aparelhos e Equipamentos de Telecomunicação","",,,,,1,,,
"Informática","","",,,,,11,,,
"Informática","","",,,,,,0,,
"Desenvolvimento de Programas (Software)","Desenvolvimento de Produtos Tecnológicos Voltados Para A Saúde Humana","",,,,,,1,,
"Desenvolvimento de Programas (Software)","Desenvolvimento de Produtos Tecnológicos Voltados Para A Saúde Humana","",,,,,,2,,
"Desenvolvimento de Produtos Tecnológicos Voltados Para A Saúde Humana","","",,,,,,,0,
"Informática","","",,,,,,,,0
