CAPITULO-DE-LIVRO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,CAPITULOS-DE-LIVROS-PUBLICADOS_Id
0,"17",0
1,"31",0
2,"32",0
3,"33",0
4,"42",0
5,"49",0
6,"50",0
7,"78",0
8,"127",0
9,"133",0
10,"157",0
11,"190",0
12,"228",0
13,"229",0
14,"233",0
15,"273",0
16,"292",0
17,"329",0
18,"340",0
19,"353",0
20,"362",0
21,"363",0
22,"403",0
23,"468",0
24,"469",0
25,"470",0
26,"471",0
27,"472",0
28,"473",0
29,"474",0
30,"475",0
31,"476",0
32,"484",0
33,"485",0
34,"486",0
35,"487",0
36,"488",0
37,"490",0
38,"491",0
39,"529",0
40,"532",0
41,"540",0
42,"542",0
43,"543",0
44,"544",0
45,"545",0
46,"552",0
47,"553",0
48,"554",0
49,"555",0
50,"556",0
51,"557",0
52,"558",0
53,"559",0
54,"560",0
55,"563",0
56,"564",0
57,"565",0
58,"566",0
59,"567",0
60,"598",0
61,"639",0
62,"640",0
63,"642",0
64,"212",0
