NUMERO-DE-VOLUMES,NUMERO-DE-PAGINAS,ISBN,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,LIVRO-PUBLICADO-OU-ORGANIZADO_Id
"","00157","","","","CAMPINAS","CARTGRAF",0
"","196","","3","","RIO DE JANEIRO","CAMPUS",1
"1","242","","","","São Paulo - Escola Computação","IME - USP",2
"1","244","8588833042","1","","Campinas","Emopi Editora e Gráfica",3
"2","48","8585783133","","","Valinhos","",4
"1","271","9788524913471","1","1","São Paulo","Cortez Editora e Livraria Limitada",5
"2","735","3540747990","","","Berlin","Springer",6
"200","150","9788585783211","1","","Campinas","Núcleo Ativo Comunicação",7
"","304","9788565848633","1","","Porto Alegre","Penso Editora Ltda.",8
"1","371","9788588833098","1","1","Campinas","UNICAMP NIED",9
"1","","9783319421018","1","","Alemanha","Springer International Publishing",10
"","357","9788588833074","1","","Campinas","NIED/UNICAMP",11
