SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,FORMATO-CARGO-OU-FUNCAO,CARGO-OU-FUNCAO,NOME-UNIDADE,CARGO-OU-FUNCAO-INGLES,ATIVIDADES-DE-DIRECAO-E-ADMINISTRACAO_Id
"3","ANTERIOR","5","1995","2","1996","007904000009","Instituto de Matemática Estatística e Ciência da Computação","007904001005","LIVRE","Coordenadora do Curso de Engenharia de Computação","Departamento de Ciência da Computação","",0
"6","ANTERIOR","","1993","2","2001","007902000990","Núcleo de Informática Aplicada à Educação","","LIVRE","Coordenadora Associada do NIED-UNICAMP","","",0
"7","ANTERIOR","","1999","7","2001","007901000997","Instituto de Computação","007901001993","LIVRE","Membro da Comissão de Pós-Graduação","Departamento Sistemas de Informação","",0
"8","ANTERIOR","","1997","7","2000","007901000997","Instituto de Computação","007901001993","LIVRE","Membro da Comissão Setorial de Avaliação","Departamento Sistemas de Informação","",0
"10","ANTERIOR","7","2000","7","2001","007901000997","Instituto de Computação","007901001993","LIVRE","Coordenadora do Mestrado Profissional em Computaçãp","Departamento Sistemas de Informação","",0
"11","ANTERIOR","3","2001","7","2001","007902000990","Núcleo de Informática Aplicada à Educação","","LIVRE","Coordenadora do Núcleo de Informática Aplicada à Educação","","",0
"12","ANTERIOR","","2002","7","2003","007904000009","Instituto de Matemática Estatística e Ciência da Computação","007904001005","LIVRE","Vice-Chefe do Departamento de Sistemas de Informação","Departamento de Ciência da Computação","",0
"16","ANTERIOR","7","2005","7","2007","007901000997","Instituto de Computação","007901001993","LIVRE","Membro da Comissão de Pós-graduação","Departamento Sistemas de Informação","",0
"17","ANTERIOR","8","2005","7","2009","007902000990","Núcleo de Informática Aplicada à Educação","","LIVRE","Coordenador Associado do NIED-UNICAMP","","",0
"20","ANTERIOR","8","2009","7","2013","007902000990","Núcleo de Informática Aplicada à Educação","","DIRETOR_DE_UNIDADE","","","",0
"13","ANTERIOR","7","2003","7","2005","007904000009","Instituto de Matemática Estatística e Ciência da Computação","007904001005","LIVRE","Coordenadora do Programa de Pós-Graduação","Departamento de Ciência da Computação","",0
