DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,SOFTWARE_Id,PRODUTO-TECNOLOGICO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id
"ISBN: 0-660-18493-1","",50,,,,,,,,,,,,,
"ISBN: 85-88442-09-4","",53,,,,,,,,,,,,,
"ISBN: 85-88442-11-6","",54,,,,,,,,,,,,,
"ISBN: 85-88442-09-4","",55,,,,,,,,,,,,,
"CDU 681.3:378","",56,,,,,,,,,,,,,
"In cooperation with IEEE, SBC, entre outras.

WCETE2004, 14-17 março de 2004. Guarujá, Santos","",80,,,,,,,,,,,,,
"In Cooperation with ACM.

ICEIS2004, April 14-17, 2004, Porto, Portugal.","",81,,,,,,,,,,,,,
"WOS2004, Julho, 2004, Setúbal, Portugal.","",82,,,,,,,,,,,,,
"WOS2004, Julho 2004, Setúbal, Portugal.","",83,,,,,,,,,,,,,
"SBC2004, 31 de Julho a 06 de Agosto 2004, Salvador Bahia","",84,,,,,,,,,,,,,
"SBC2004, 31 de Julho a 06 de Agosto 2004, Salvador Bahia","",85,,,,,,,,,,,,,
"In Cooperation with ACM

ICEIS2004, April 14-17, 2004, Porto, Portugal.","",86,,,,,,,,,,,,,
"Mês da Publicação: Outubro 2004

Linha de Pesquisa: Sistemas de Informação
Projeto: Interfaces Humano-Computador

Linha de Pesquisa: Aplicações
Projeto: Informática na Educação

Vínculo com Tese de aluno: Sim
Doutorado (de Marcos A.F. Borges)
Concluída 
Ano de defesa: 2004","",87,,,,,,,,,,,,,
"IHC2004, 17-20 Outubro, 2004, Curitiba, PR.","",88,,,,,,,,,,,,,
"IHC2004, 17-20 Outubro, 2004, Curitiba, PR.","",89,,,,,,,,,,,,,
"Oficina (Workshop) proposta e organizada no VI IHC.

IHC2004, 17-20 Outubro, 2004, Curitiba, PR.","",90,,,,,,,,,,,,,
"Geoinfo2004, 22-24 novembro, 2004, Campos do Jordão, SP","",91,,,,,,,,,,,,,
"RIBIE2004, 13 a 15 de Outubro, 2004, Monterrey México.","",92,,,,,,,,,,,,,
"SBIE2002, Novembro, 2002, São Leopoldo, RS.","",93,,,,,,,,,,,,,
"Data do evento: 22-29 Julho 2005","",94,,,,,,,,,,,,,
"Data do Evento: 22-29 Julho 2005","",95,,,,,,,,,,,,,
"In cooperation with AAAI and ACM SIGMIS.

Data do evento: 24-28 Maio 2005","",96,,,,,,,,,,,,,
"Supported by CNES, CCT Les Centres de Compétences Techniques du CNES

Data do evento: 23-24 Junho 2005","",97,,,,,,,,,,,,,
"data do evento: 22-27 Julho 2005","",98,,,,,,,,,,,,,
"data do evento: 22-27 Julho 2005","",99,,,,,,,,,,,,,
"data do evento: 22-27 julho 2005","",100,,,,,,,,,,,,,
"Publicado na ACM Digital Library

evento em Outubro, 23-26, 2005","",101,,,,,,,,,,,,,
"publicado na ACM Digital Library.

evento em Outubro, 23-26, 2005","",103,,,,,,,,,,,,,
"publicado na ACM Digital Library

evento em Outubro, 23-26, 2005","",104,,,,,,,,,,,,,
"publicado na ACM Digital Library

evento em Outubro, 23-26, 2005","",105,,,,,,,,,,,,,
"Workshop sobre Interfaces e Interação em Ambientes Educacionais

Novembro, 9-11, 2005","",106,,,,,,,,,,,,,
"Workshop sobre Interfaces e Interação em Ambientes educacionais

evento em Novembro, 9-11, 2005","",107,,,,,,,,,,,,,
"ICEIS2006, Maio 23-27, 2006.","",108,,,,,,,,,,,,,
"SBC2006: 14 a 20 de julho de 2006","",109,,,,,,,,,,,,,
"ICEIS 2006, May 23-27, 2006","",110,,,,,,,,,,,,,
"ICOS 2006, 5-7 July, 2006","",111,,,,,,,,,,,,,
"SBC 2006, 14 a 20 de julho de 2006.","",112,,,,,,,,,,,,,
"resultado de Mestrado em andamento, IC Unicamp.","",114,,,,,,,,,,,,,
"resultado de doutorado em andamento no IC Unicamp","",115,,,,,,,,,,,,,
"resultado associado a tese de doutorado defendida no IC Unicamp","",116,,,,,,,,,,,,,
"resultado de doutorado em andamento no IC Unicamp","",117,,,,,,,,,,,,,
"participação de orientada de Mestrado","",119,,,,,,,,,,,,,
"participação de orientada de Doutorado","",121,,,,,,,,,,,,,
"participação de orientado de Doutorado e colega do IC","",124,,,,,,,,,,,,,
"participação de orientado de Mestrado","",125,,,,,,,,,,,,,
"participação de aluno de Doutorado em andamento e colega do IC.","",126,,,,,,,,,,,,,
"participação de orientada de Doutorado","",127,,,,,,,,,,,,,
"participação de orientados de Mestrado e Doutorado","",128,,,,,,,,,,,,,
"participação de orientados de Mestrado e Doutorado e colega do IC","",129,,,,,,,,,,,,,
"participação de ex-orientada de Mestrado concluído","",130,,,,,,,,,,,,,
"participação de alunas de Mestrado e Doutorado","",131,,,,,,,,,,,,,
"held in conjunction with IFIP INTERACT2007","",132,,,,,,,,,,,,,
"participação de orientados de Doutorado e Mestrado","",133,,,,,,,,,,,,,
"evento Qualis Internacional A","",134,,,,,,,,,,,,,
"co-autoria de aluno de doutorado.

evento Qualis Internacional A","",135,,,,,,,,,,,,,
"co-autoria de aluno de mestrado.

evento Qualis Internacional A","",136,,,,,,,,,,,,,
"evento Qualis Internacional A

co-autoria de ex-aluno de doutorado.","",137,,,,,,,,,,,,,
"co-autoria de aluna de doutorado.

evento Qualis Nacional","",138,,,,,,,,,,,,,
"co-autoria de alunas de doutorado e de mestrado.

evento Qualis Nacional.","",139,,,,,,,,,,,,,
"co-autoria de alunos de doutorado.

evento Qualis Nacional.","",140,,,,,,,,,,,,,
"co-autoria de aluna de mestrado.

evento Qualis Internacional","",141,,,,,,,,,,,,,
"co-autoria de aluna de mestrado.","",142,,,,,,,,,,,,,
"co-autoria de aluna de mestrado.

evento Qualis Internacional","",143,,,,,,,,,,,,,
"co-autoria de aluno de mestrado.

technical conference do IFIP 20th World Computer Congress (WCC 2008).

evento Qualis Internacional","",144,,,,,,,,,,,,,
"co-autoria de aluna de mestrado.

technical conference do IFIP 20th World Computer Congress (WCC 2008).

evento Qualis Internacional","",145,,,,,,,,,,,,,
"co-autoria de alunos de doutorado e de mestrado.","",146,,,,,,,,,,,,,
"co-autoria de aluno de doutorado e ex-aluna de mestrado 

evento Qualis Nacional A","",147,,,,,,,,,,,,,
"co-autoria de aluno de doutorado

evento Qualis Nacional A","co-autoria de aluno de doutorado

evento Qualis Nacional A",148,,,,,,,,,,,,,
"co-autoria de aluna de doutorado, aluna de mestrado e ex-aluna de mestrado.

workshop em evento Qualis Nacional A","",149,,,,,,,,,,,,,
"co-autoria de aluno de mestrado.

evento Qualis Nacional B","",150,,,,,,,,,,,,,
"co-autoria de orientados de doutorado.","",151,,,,,,,,,,,,,
"19-24 Julho, San Diego-CA-USA, 2009

@proceedings{LNCS5621,
  editor  = {A. Ant Ozok and Panayiotis Zaphiris},
  title   = {Online Communities and Social Computing},
  publisher = {Springer},
  location = {Heidelberg},
  series  = {LNCS},
  volume  = {5621},
  year   = {2009},
  isbn   = {978-3-642-02773-4}","L.D.A. Almeida, V.P. de Almeida Neris, L.C. de Miranda, E.C.S. Hayashi, and M.C. Calani Baranauskas: Designing Inclusive Social Networks: A Participatory Approach. In: A. Ant Ozok and Panayiotis Zaphiris (Eds.): Online Communities and Social Computing. Third International Conference, OCSC 2009, Held as Part of HCI International 2009, pp. 653-662. San Diego, CA, USA, July 19-24, 2009.",152,,,,,,,,,,,,,
"co-autoria de aluno de doutorado","",154,,,,,,,,,,,,,
"co-autoria de aluna de doutorado.

LNBIP 24. (Lecture Notes in Business Information Processing)","",155,,,,,,,,,,,,,
"LNBIP-Lecture Notes in Business Information Processing.","",156,,,,,,,,,,,,,
"co-autoria de orientada de mestrado.","",159,,,,,,,,,,,,,
"co-autoria de orientado de mestrado.","",160,,,,,,,,,,,,,
"co-autoria de orientada de mestrado.","",162,,,,,,,,,,,,,
"co-autoria de orientados de doutorado.","",163,,,,,,,,,,,,,
"co-autoria de orientado de doutorado.","",164,,,,,,,,,,,,,
"Prêmio "Best Paper in the Area of New Research Issues on the Web" 
at the IADIS International Conference Committee WWW/Internet 2009.","",165,,,,,,,,,,,,,
"co-autoria de orientado de mestrado e ex-orientado de doutorado.","",169,,,,,,,,,,,,,
"co-autoria de orientado de mestrado e ex-orientado de doutorado.","",170,,,,,,,,,,,,,
"co-autoria de orientado de mestrado e ex-orientado de doutorado.","",171,,,,,,,,,,,,,
