ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-CONCLUIDAS_Id
0,"36",0
1,"37",0
2,"38",0
3,"39",0
4,"62",0
5,"83",0
6,"108",0
7,"109",0
8,"128",0
9,"136",0
10,"137",0
11,"159",0
12,"161",0
13,"162",0
14,"186",0
15,"187",0
16,"200",0
17,"210",0
18,"211",0
19,"214",0
20,"215",0
21,"260",0
22,"261",0
23,"262",0
24,"263",0
25,"278",0
26,"279",0
27,"324",0
28,"325",0
29,"356",0
30,"392",0
31,"466",0
32,"511",0
33,"512",0
34,"570",0
35,"610",0
36,"160",0
