PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,SOFTWARE_Id,PATENTE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,DEMAIS-TRABALHOS_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Geometria","Linguagem","Logo","","","",0,,,,,,,,,,,,,,,,,,,,,,,,,
"Prolog","Paradigma da Programação em Lógica","ferramenta computacional","novatos","","",,0,,,,,,,,,,,,,,,,,,,,,,,,
"Design","Interface","Sistema Computacional","","","",,,0,,,,,,,,,,,,,,,,,,,,,,,
"Design - Modelagem - Primitivas","","","","","",,,,10,,,,,,,,,,,,,,,,,,,,,,
"Simulacao - Modelo - Aprendizagem","","","","","",,,,11,,,,,,,,,,,,,,,,,,,,,,
"Modelling - Simulation - Programming","","","","","",,,,12,,,,,,,,,,,,,,,,,,,,,,
"Jogos - Treinamento - Industria","","","","","",,,,13,,,,,,,,,,,,,,,,,,,,,,
"Jogos - Formacao - Industria","","","","","",,,,14,,,,,,,,,,,,,,,,,,,,,,
"Especialista - Empresa - Treinamento","","","","","",,,,15,,,,,,,,,,,,,,,,,,,,,,
"Design - Expert System - Training","","","","","",,,,16,,,,,,,,,,,,,,,,,,,,,,
"Model - Manufacture - Training","","","","","",,,,17,,,,,,,,,,,,,,,,,,,,,,
"Design","Usuário","Interface","","","",,,,18,,,,,,,,,,,,,,,,,,,,,,
"Analise","Interface","Semiotica","","","",,,,19,,,,,,,,,,,,,,,,,,,,,,
"Semiotica","Interface","Análise","","","",,,,20,,,,,,,,,,,,,,,,,,,,,,
"Design Centrado No Aprendiz","","","","","",,,,21,,,,,,,,,,,,,,,,,,,,,,
"Design","Formação","Jogos","","","",,,,22,,,,,,,,,,,,,,,,,,,,,,
"Comunicacao","Crianca","Interface","","","",,,,23,,,,,,,,,,,,,,,,,,,,,,
"Interface","Realidade Virtual","Teatro","","","",,,,24,,,,,,,,,,,,,,,,,,,,,,
"Cooperative Learning","Design","Game","","","",,,,25,,,,,,,,,,,,,,,,,,,,,,
"Game","Multi-User Software","Synchronous Simulation","","","",,,,26,,,,,,,,,,,,,,,,,,,,,,
"Design","Educational Software","Semiotics","","","",,,,27,,,,,,,,,,,,,,,,,,,,,,
"Semiotics","Interface","Design","","","",,,,28,,,,,,,,,,,,,,,,,,,,,,
"manufacture","computer game","","","","",,,,29,,,,,,,,,,,,,,,,,,,,,,
"logic programming environment","","","","","",,,,30,,,,,,,,,,,,,,,,,,,,,,
"Prolog","Novice users","","","","",,,,31,,,,,,,,,,,,,,,,,,,,,,
"Prolog programs","Novice users","","","","",,,,32,,,,,,,,,,,,,,,,,,,,,,
"program paradigms","","","","","",,,,33,,,,,,,,,,,,,,,,,,,,,,
"Metáforas","Interface","Comunicação Eletrônica","","","",,,,34,,,,,,,,,,,,,,,,,,,,,,
"Interface","Espaço de Comunicação","Semiótica","","","",,,,35,,,,,,,,,,,,,,,,,,,,,,
"Semiótica","Design","Interfaces","","","",,,,36,,,,,,,,,,,,,,,,,,,,,,
"Processo Comunicativo","Ambientes Virtuais","Aprendizagem","","","",,,,37,,,,,,,,,,,,,,,,,,,,,,
"Chat","educação inclusiva","","","","",,,,38,,,,,,,,,,,,,,,,,,,,,,
"Design process","Communication","Semiotics","","","",,,,39,,,,,,,,,,,,,,,,,,,,,,
"Participatory Design","Lean Organization","","","","",,,,40,,,,,,,,,,,,,,,,,,,,,,
"Human-Computer Interface","Geographic Information System","Cartography","Semiotics","","",,,,41,,,,,,,,,,,,,,,,,,,,,,
"Design for the Workplace","Manufacturing Systems","Learning Environments","","","",,,,42,,,,,,,,,,,,,,,,,,,,,,
"Human-Computer Interface","Geographic Information System","Semiotics","","","",,,,43,,,,,,,,,,,,,,,,,,,,,,
"Meta-comunicação","Interface","Comunicação","","","",,,,44,,,,,,,,,,,,,,,,,,,,,,
"Design","Interface","Realidade Virtual","Semiótica","","",,,,45,,,,,,,,,,,,,,,,,,,,,,
"Ferramentas de Comunicação Eletrônica","Interfaces","educação inclusiva","","","",,,,46,,,,,,,,,,,,,,,,,,,,,,
"Computer Semiotics","Domain Analysis","Interface Design","","","",,,,47,,,,,,,,,,,,,,,,,,,,,,
"Lean Production","Design for the Workplace","Participatory Practices","","","",,,,48,,,,,,,,,,,,,,,,,,,,,,
"learning environment","collaboration","manufacturing","shopfloor workers","","",,,,49,,,,,,,,,,,,,,,,,,,,,,
"CSCW","Manufacturing Systems","Agent - Trainig - Critics","","","",,,,50,,,,,,,,,,,,,,,,,,,,,,
"Communication","Semiotics","Design process","","","",,,,51,,,,,,,,,,,,,,,,,,,,,,
"collaboration","Cooperative Learning","learning environment","","","",,,,52,,,,,,,,,,,,,,,,,,,,,,
"Sistemas de Informação Geográfica","Realidade Virtual","Semiótica","","","",,,,53,,,,,,,,,,,,,,,,,,,,,,
"Realidade Virtual","Semiótica","Sistemas de Informação Geográfica","","","",,,,54,,,,,,,,,,,,,,,,,,,,,,
"Communication","Design process","Semiotics","","","",,,,55,,,,,,,,,,,,,,,,,,,,,,
"Interação Humano-Computador","Computer-based game","","","","",,,,56,,,,,,,,,,,,,,,,,,,,,,
"Semiotic System","Simulation","","","","",,,,57,,,,,,,,,,,,,,,,,,,,,,
"Comunicação","design de software","","","","",,,,58,,,,,,,,,,,,,,,,,,,,,,
"Interface Design","Semiotics","","","","",,,,59,,,,,,,,,,,,,,,,,,,,,,
"Participatory Design","Organisational Semiotics","Domain-Oriented Application","","","",,,,60,,,,,,,,,,,,,,,,,,,,,,
"Cartography","Interface Design","Semiotics","Geographic Information System","","",,,,61,,,,,,,,,,,,,,,,,,,,,,
