SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,DEMAIS-TRABALHOS_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Informática","","",0,,,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,0,,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,10,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,11,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,12,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,13,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,14,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,15,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,16,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,17,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,18,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,19,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,20,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,21,,,,,,,,,,,,,,,,,,,,,
"Educação","","",,,22,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,23,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,24,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,25,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,26,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,27,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,28,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,29,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,30,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,31,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,33,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,34,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,35,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,36,,,,,,,,,,,,,,,,,,,,,
"Informática","Educação","",,,37,,,,,,,,,,,,,,,,,,,,,
"Informática","Educação","",,,38,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,39,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,40,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,41,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,42,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,43,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,44,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,45,,,,,,,,,,,,,,,,,,,,,
"Informática","Educação","",,,46,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,47,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,48,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,49,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,50,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,51,,,,,,,,,,,,,,,,,,,,,
"Informática","Educação","",,,52,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,53,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,54,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,55,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,56,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,57,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,58,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,59,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,60,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,61,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,62,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,63,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,64,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,65,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,66,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,67,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,68,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,69,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,70,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,71,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,72,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,73,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,74,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,75,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,76,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,77,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,78,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,79,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,80,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,81,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,82,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,83,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,84,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,85,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,86,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,87,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,88,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,89,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,90,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,91,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,92,,,,,,,,,,,,,,,,,,,,,
"Informática","","",,,93,,,,,,,,,,,,,,,,,,,,,
