AREAS-DO-CONHECIMENTO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,PARTICIPACAO-EM-CONGRESSO_Id
0,0,,,,,,,,,,,,,,,
1,,0,,,,,,,,,,,,,,
2,,1,,,,,,,,,,,,,,
3,,3,,,,,,,,,,,,,,
4,,5,,,,,,,,,,,,,,
5,,7,,,,,,,,,,,,,,
6,,8,,,,,,,,,,,,,,
7,,9,,,,,,,,,,,,,,
8,,10,,,,,,,,,,,,,,
9,,11,,,,,,,,,,,,,,
10,,12,,,,,,,,,,,,,,
11,,13,,,,,,,,,,,,,,
12,,14,,,,,,,,,,,,,,
13,,19,,,,,,,,,,,,,,
14,,,0,,,,,,,,,,,,,
15,,,2,,,,,,,,,,,,,
16,,,,2,,,,,,,,,,,,
17,,,,,0,,,,,,,,,,,
18,,,,,1,,,,,,,,,,,
19,,,,,2,,,,,,,,,,,
20,,,,,3,,,,,,,,,,,
21,,,,,4,,,,,,,,,,,
22,,,,,7,,,,,,,,,,,
23,,,,,,0,,,,,,,,,,
24,,,,,,1,,,,,,,,,,
25,,,,,,2,,,,,,,,,,
26,,,,,,3,,,,,,,,,,
27,,,,,,4,,,,,,,,,,
28,,,,,,,0,,,,,,,,,
29,,,,,,,17,,,,,,,,,
30,,,,,,,,0,,,,,,,,
31,,,,,,,,,0,,,,,,,
32,,,,,,,,,1,,,,,,,
33,,,,,,,,,2,,,,,,,
34,,,,,,,,,6,,,,,,,
35,,,,,,,,,,0,,,,,,
36,,,,,,,,,,,0,,,,,
37,,,,,,,,,,,,0,,,,
38,,,,,,,,,,,,1,,,,
39,,,,,,,,,,,,,0,,,
40,,,,,,,,,,,,,1,,,
41,,,,,,,,,,,,,,0,,
42,,,,,,,,,,,,,,,0,
43,,,,,,,,,,,,,,,1,
44,,,,,,,,,,,,,,,,3
