NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id
"Edson Borin","BORIN, E.","1","",0,,,,,,,,,
"Cheng Wang","WANG, C.","2","",0,,,,,,,,,
"Youfeng Wu","WU, Y.","3","",0,,,,,,,,,
"Guido Araújo","ARAUJO, G.","4","8683914780987242",0,,,,,,,,,
"Edson Borin","BORIN, E.","1","",1,,,,,,,,,
"Felipe Klein","KLEIN, F.","2","1606941011950531",1,,,,,,,,,
"Nahri Moreano","MOREANO, N.","3","7109611749276343",1,,,,,,,,,
"Rodolfo Azevedo","AZEVEDO, R.","4","2046981671187343",1,,,,,,,,,
"Guido Araújo","ARAUJO, G.","5","8683914780987242",1,,,,,,,,,
"Paulo Castro","CASTRO, P.","1","",2,,,,,,,,,
"Edson Borin","BORIN, E.","2","",2,,,,,,,,,
"Rodolfo Azevedo","AZEVEDO, R.","3","2046981671187343",2,,,,,,,,,
"Guido Araújo","ARAUJO, G.","4","8683914780987242",2,,,,,,,,,
"Edson Borin","BORIN, E.","1","",3,,,,,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","2","",3,,,,,,,,,
"Youfeng Wu","WU, Y.","3","",3,,,,,,,,,
"Guido Araújo","ARAUJO, G.","4","8683914780987242",3,,,,,,,,,
"João Paulo Porto","PORTO, J. P.","1","6749787014203446",4,,,,,,,,,
"Guido Araújo","ARAUJO, G.","2","8683914780987242",4,,,,,,,,,
"Youfeng Wu","WU, Y.","3","",4,,,,,,,,,
"Edson Borin","BORIN, E.","4","",4,,,,,,,,,
"Cheng Wang","WANG, C.","5","",4,,,,,,,,,
"Cheng Wang","WANG, C.","1","",5,,,,,,,,,
"Youfeng Wu","WU, Y.","2","",5,,,,,,,,,
"Edson Borin","BORIN, E.","3","",5,,,,,,,,,
"Shiliang Hu","HU, S.","4","",5,,,,,,,,,
"Wei Liu","LIU, W.","5","",5,,,,,,,,,
"Dave Sager","SAGER, D.","6","",5,,,,,,,,,
"Tin-fook Ngai","NGAI, T.","7","",5,,,,,,,,,
"Jesse Fang","FANG, J.","8","",5,,,,,,,,,
"Cheng Wang","WANG, C.","1","",6,,,,,,,,,
"Youfeng Wu","WU, Y.","2","",6,,,,,,,,,
"Edson Borin","BORIN, E.","3","",6,,,,,,,,,
"Shiliang Hu","HU, S.","4","",6,,,,,,,,,
"Wei Liu","LIU, W.","5","",6,,,,,,,,,
"Tin-fook Ngai","NGAI, T.","6","",6,,,,,,,,,
"Jesse Fang","FANG, J.","7","",6,,,,,,,,,
"Edson Borin","BORIN, E.","1","",7,,,,,,,,,
"Youfeng Wu","WU, Y.","2","",7,,,,,,,,,
"Edson Borin","BORIN, E.","1","",8,,,,,,,,,
"Youfeng Wu","WU, Y.","2","",8,,,,,,,,,
"Edson Borin","BORIN, E.","1","",9,,,,,,,,,
"Youfeng Wu","WU, Y.","2","",9,,,,,,,,,
"Cheng Wang","WANG, C.","3","",9,,,,,,,,,
"Wei Liu","LIU, W.","4","",9,,,,,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","5","",9,,,,,,,,,
"Shiliang Hu","HU, S.","6","",9,,,,,,,,,
"Esfir Natanzon","NATANZON, ESFIR","7","",9,,,,,,,,,
"Shai Rotem","ROTEM, SHAI","8","",9,,,,,,,,,
"Roni Rosner","ROSNER, RONI","9","",9,,,,,,,,,
"Edson Borin","BORIN, E.","1","",10,,,,,,,,,
"Youfeng Wu","WU, Y.","2","",10,,,,,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","3","",10,,,,,,,,,
"Cheng Wang","WANG, C.","4","",10,,,,,,,,,
"Youfeng Wu","WU, Y.","1","",11,,,,,,,,,
"Shiliang Hu","HU, S.","2","",11,,,,,,,,,
"Edson Borin","BORIN, E.","3","",11,,,,,,,,,
"Cheng Wang","WANG, C.","4","",11,,,,,,,,,
"Wesley Attrot","ATTROT, W.","1","5644676140910061",12,,,,,,,,,
"Daniel Nicácio","NICÁCIO, D.","2","",12,,,,,,,,,
"Edson Borin","BORIN, E.","3","",12,,,,,,,,,
"Sandro Rigo","RIGO, S.","4","8308517667746974",12,,,,,,,,,
"Guido Araújo","ARAUJO, G.","5","8683914780987242",12,,,,,,,,,
"João Paulo Porto","PORTO, J. P.","1","6749787014203446",13,,,,,,,,,
