NATUREZA,TITULO-DO-TRABALHO,ANO-DO-TRABALHO,PAIS-DO-EVENTO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TRABALHO-EM-EVENTOS_Id
"COMPLETO","Software-based transparent and comprehensive control-flow error detection","2006","Estados Unidos","Inglês","VARIOS","[http://dx.doi.org/10.1109/CGO.2006.33]","NAO","10.1109/CGO.2006.33","","NAO",0
"COMPLETO","Fast Instruction Set Customization","2004","Suécia","Inglês","VARIOS","","NAO","10.1109/ESTMED.2004.1359704","","NAO",1
"COMPLETO","Looking for instruction patterns in the design of extensible processors","2004","Suécia","Inglês","IMPRESSO","","NAO","","","NAO",2
"COMPLETO","Clustering-Based Microcode Compression","2006","Estados Unidos","Inglês","VARIOS","","SIM","10.1109/ICCD.2006.4380816","","NAO",3
"COMPLETO","Compact Trace Trees in Dynamic Binary Translation","2009","Estados Unidos","Inglês","MEIO_DIGITAL","[http://amas-bt.cs.virginia.edu/program-2009.htm]","NAO","","","NAO",4
"COMPLETO","Dynamic parallelization of single-threaded binary programs using speculative slicing","2009","Estados Unidos","Inglês","VARIOS","[http://doi.acm.org/10.1145/1542275.1542302]","NAO","","","NAO",5
"COMPLETO","New Slicing Algorithms for Parallelizing Single-Threaded Programs","2008","China","Inglês","MEIO_DIGITAL","[http://tiamat.eecs.umich.edu/pespma08/papers/PESPMA-paper-3.pdf]","NAO","","","NAO",6
"COMPLETO","Characterization of Dynamic Binary Translation Overhead","2008","China","Inglês","MEIO_DIGITAL","[http://amas-bt.cs.virginia.edu/program-2008.htm]","NAO","","","NAO",7
"COMPLETO","Characterization of DBT overhead","2009","Estados Unidos","Inglês","VARIOS","","NAO","10.1109/IISWC.2009.5306785","","NAO",8
"COMPLETO","TAO: two-level atomicity for dynamic binary optimizations","2010","Canadá","Inglês","IMPRESSO","[http://doi.acm.org/10.1145/1772954.1772959]","SIM","","TAO: Two-level Atomicity for Dynamic Binary Optimizations","NAO",9
"COMPLETO","LAR-CC: Large Atomic Regions with Conditional Commits","2011","França","Inglês","VARIOS","[http://dx.doi.org/10.1109/CGO.2011.5764674]","SIM","10.1109/CGO.2011.5764674","LAR-CC: Large Atomic Regions with Conditional Commits","NAO",10
"COMPLETO","A HW/SW Co-designed Heterogeneous Multi-core Virtual Machine for Energy-Efficient General Purpose Computing","2011","França","Inglês","VARIOS","[http://dx.doi.org/10.1109/CGO.2011.5764691]","NAO","10.1109/CGO.2011.5764691","A HW/SW Co-designed Heterogeneous Multi-core Virtual Machine for Energy-Efficient General Purpose Computing","NAO",11
"COMPLETO","Live Range Hole Allocation in Dynamic Binary Translation","2011","Estados Unidos","Inglês","MEIO_DIGITAL","[http://amas-bt.cs.virginia.edu/program-2011.htm]","NAO","","Live Range Hole Allocation in Dynamic Binary Translation","NAO",12
"COMPLETO","Trace Execution Automata in Dynamic Binary Translation","2010","França","Inglês","MEIO_DIGITAL","[http://www.springerlink.com/content/c141160739271827/]","NAO","","Trace Execution Automata in Dynamic Binary Translation","NAO",13
"COMPLETO","Structure-Constrained Microcode Compression","2011","Brasil","Inglês","MEIO_DIGITAL","","NAO","","Structure-Constrained Microcode Compression","NAO",14
