NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"The 4th Annual International Symposium on Code Generation and Optimization (CGO)","","","New York, NY, USA","",0
"4th Workshop on Infrastructures for Software/Hardware co-design","","","San Jose, EUA","",1
"Intel Innovation Week","Intel Corporation","Sala Xeon Phi - Senac","Santo Amaro","",2
"10Most","Motorola Industrial Ltda","Motorola","Jaguariuna - SP","",3
"Workshop on Architectural and Microarchitectural Support for Binary Translation","","","Beijing, China","",4
"IEEE International Conference on Computer Design (ICCD 2006)","","","San Jose, CA","",5
"XVI Simpósio em Sistemas Computacionais de Alto Desempenho","","","Florianópolis, SC","",6
"25th International Symposium on Computer Architecture and High Performance Computing","","","Porto de Galinhas","",7
"9th Annual IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","","","Chamonix","",8
"Third International Conference on Parallel, Distributed, Grid and Cloud Computing for Engineering","","","Pécs","",9
"23rd International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD'11)","","","Vitória - ES","",10
"International Symposium on Code Generation and Optimization (CGO '10)","","","Toronto","",11
"Workshop de Ensino de Arquitetura de Computadores (WEAC)","WSCAD","","Porto de Galinhas, PE","",12
"Workshop de Ensino de Arquitetura de Computadores (WEAC)","WSCAD","","São José dos Campos - São Paulo","",13
"WBIA 2005 - Workshop on Binary Instrumentation and Applications","","","Missouri","",14
"IEEE Workshop on Embedded Systems for Real-Time Multimedia (ESTIMEDIA)","","","Stockholm","",15
"Workshop on Application Specific Processors, WASP 2004","","","Stockholm","",16
"IEEE International Symposium on Workload Characterization","IEEE","AT&T Conference Center","Austin, TX","",17
