NOME-INSTITUICAO,NATUREZA,FINANCIADORES-DO-PROJETO_Id
Advanced Micro Devices,AUXILIO_FINANCEIRO,0
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,1
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,2
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,3
Advanced Micro Devices,AUXILIO_FINANCEIRO,4
Samsung Eletrônica da Amazônia,AUXILIO_FINANCEIRO,5
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,6
Petróleo Brasileiro - Rio de Janeiro - Matriz,AUXILIO_FINANCEIRO,7
Microsoft Informática,AUXILIO_FINANCEIRO,8
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,AUXILIO_FINANCEIRO,9
Advanced Micro Devices,AUXILIO_FINANCEIRO,10
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,11
