PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA_Id
"Compressão de Microcódigo","Compressão de Código","","","","",0,,,,,,,,,,,,,,,,,,,
"Dynamic Binary Instrumentation","Soft-errors","Reliability","Dynamic Binary Translation","","",,0,,,,,,,,,,,,,,,,,,
"Instruction Set Customization","","","","","",,2,,,,,,,,,,,,,,,,,,
"Compressão de Microcódigo","Compressão de Código","","","","",,3,,,,,,,,,,,,,,,,,,
"Dynamic Binary Translation","Dynamic Binary Instrumentation","","","","",,4,,,,,,,,,,,,,,,,,,
"backward slicing","binary optimization","parallelization","single-thread performance","speculations","",,5,,,,,,,,,,,,,,,,,,
"backward slicing","speculations","parallelization","","","",,6,,,,,,,,,,,,,,,,,,
"Dynamic Binary Translation","","","","","",,7,,,,,,,,,,,,,,,,,,
"Dynamic Binary Translation","Dynamic Binary Optimization","","","","",,8,,,,,,,,,,,,,,,,,,
"binary optimization","Dynamic Binary Optimization","single-thread performance","","","",,9,,,,,,,,,,,,,,,,,,
"binary optimization","Dynamic Binary Optimization","Dynamic Binary Translation","Hardware/Software Co-design","speculations","",,10,,,,,,,,,,,,,,,,,,
"binary optimization","Dynamic Binary Optimization","Dynamic Binary Translation","Hardware/Software Co-design","single-thread performance","heterogeneous computing",,11,,,,,,,,,,,,,,,,,,
"binary optimization","Dynamic Binary Optimization","Dynamic Binary Translation","","","",,12,,,,,,,,,,,,,,,,,,
"binary optimization","Dynamic Binary Translation","","","","",,13,,,,,,,,,,,,,,,,,,
"Compressão de Microcódigo","microcode compression","","","","",,14,,,,,,,,,,,,,,,,,,
"parallelization","heterogeneous computing","GPU","content-based image retrieval","","",,15,,,,,,,,,,,,,,,,,,
"GPU","heterogeneous computing","parallelization","content-based image retrieval","","",,16,,,,,,,,,,,,,,,,,,
"System prototyping","power consumption","simulation","computer aided design","","",,19,,,,,,,,,,,,,,,,,,
"Code generation","automatic compiler back-end generation","","","","",,20,,,,,,,,,,,,,,,,,,
"Compressão de traços","simulação de arquiteturas","","","","",,21,,,,,,,,,,,,,,,,,,
"GPU","OpenCL","CBIR","","","",,32,,,,,,,,,,,,,,,,,,
"CRS","HPC","","","","",,39,,,,,,,,,,,,,,,,,,
"Parallel programming model","parallel computing","high performance computing","","","",,45,,,,,,,,,,,,,,,,,,
"GPU","Parallel sorting","high performance computing","","","",,46,,,,,,,,,,,,,,,,,,
"GPU","Programming models","OpenCL","Sycl","OpenMP","",,47,,,,,,,,,,,,,,,,,,
