NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,RELATORIO-DE-PESQUISA_Id
"Pedro Jussieu de Rezende","REZENDE, P. J.","1","5746822816259454",0,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",0,,,,,
"Pedro Jussieu de Rezende","REZENDE, P. J.","1","5746822816259454",1,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",1,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",2,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","2","",2,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",3,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","2","",3,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","1","",4,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","2","6947551604323520",4,,,,,
"Islene Calciolari Garcia","GARCIA, I. C.;GARCIA, ISLENE C.;GARCIA, ISLENE CALCIOLARI;GARCIA, I.C.","1","6947551604323520",5,,,,,
"Luiz Eduardo Buzato","BUZATO, L. E.","2","",5,,,,,
