NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Metadados para Workflows Científicos no Apoio ao Planejamento Ambiental","2003","Brasil","Português","","","",0
"Mestrado","ACADEMICO","Um Modelo para Deployment de Componentes em CORBA","2003","Brasil","Português","","","",1
"Mestrado","NAO_INFORMADO","Um Estudo do Desempenho dos Protocolos iSCSI e Fibre Channel","2004","Brasil","Português","","","",2
"Mestrado","NAO_INFORMADO","Arquiteturas de Redes de Armazenamento de Dados","2006","Brasil","Português","","","",3
"Mestrado","ACADEMICO","Mecanismos de Incentivo à Cooperação em Redes Peer-to-Peer para Distribuição de Fluxos de Vídeo","2006","Brasil","Português","","","",4
"Mestrado","ACADEMICO","Uma Plataforma de Serviços de Recomendação para Bibliotecas Digitais","2008","Brasil","Português","","","",5
"Mestrado","ACADEMICO","Transações Reconfiguráveis para o Ambiente Móvel","2009","Brasil","Português","","","",6
"Mestrado","ACADEMICO","Uma Abordagem para Reserva de Recursos no Gerenciamento de QoS entre Domínios em Redes de Próxima Geração","2009","Brasil","Português","","","",7
"Mestrado","ACADEMICO","Um Sistema de Reputação para Redes Peer-to-Peer Estruturado Baseado na Reputação de Arquivos, com Verificação pela Reputação dos Nós","2009","Brasil","Português","","","",8
"Mestrado","ACADEMICO","Análise do Comportamento da Hierarquia de Memória com OProfile estendido","2009","Brasil","Português","","","",9
"Mestrado","ACADEMICO","Grades Computacionais Baseadas em Modelos Econômicos","2010","Brasil","Português","","","",10
"Mestrado","ACADEMICO","Ações Atômicas Coordenadas na Plataforma Java EE","2010","Brasil","Português","","","",11
"Mestrado","ACADEMICO","Memory Dispatcher: Uma contribuição para a Gerência de Recursos em Ambientes Virtualizados","2010","Brasil","Português","","","",12
"Mestrado","ACADEMICO","Arcabouço Genérico Baseado em Técnicas de Agrupamento para Sistemas de Recomendação","2010","Brasil","Português","","","",13
"Mestrado","ACADEMICO","Uma Proposta de Meta-Escalonamento para Execução de Workflows WS-BPEL em Multi-Clusters","2010","Brasil","Português","","","",14
"Mestrado","ACADEMICO","Uma Abordagem para Negociação e Renegociação de Contratos Eletrônicos para Serviços Web","2010","Brasil","Português","","","",15
"Mestrado","ACADEMICO","Especificação de Bibliotecas Digitais de Objetos Complexos","2012","Brasil","Português","","","",16
"Mestrado","ACADEMICO","MidGov: Middleware para Governo Eletrônico baseado em Grade Computacionais","2013","Brasil","Português","","","",17
"Mestrado","ACADEMICO","Uma Solução de Alta Disponibilidade para o Sistema de Arquivos Distribuído do Hadoop","2013","Brasil","Português","","","",18
"Mestrado","ACADEMICO","Leitura Automatizada de Medidores de Consumo de Energia Utilizando Veículos Aéreos não Tripulados","2015","Brasil","Português","","","",19
"Mestrado","ACADEMICO","Detectores de Falhas em Aglomerados: Um Estudo Comparativo","2015","Brasil","Português","","","",20
"Mestrado","ACADEMICO","Suporte para execução de máquinas virtuais nativas","2015","Brasil","Português","","","",21
"Mestrado","ACADEMICO","Proteção de dados sensíveis através do isolamento de processos arbitrários em sistemas operacionais baseados no Linux","2016","Brasil","Português","","","",22
"Mestrado","ACADEMICO","Scheduling Applications with Software Requirements in Grids and Private Clouds","2016","Brasil","Português","","","",23
"Mestrado","ACADEMICO","Um Sistema de Monitoramento para Caracterização de Algoritmos Distribuídos","2016","Brasil","Português","","","",24
"Mestrado","ACADEMICO","Mecanismos para Escalonamento de Aplicações MapReduce de Diferentes Prioridades","2017","Brasil","Português","","","",25
"Mestrado","ACADEMICO","Eleição de líder com qualidade de serviço para o modelo falha-e-recuperação","2017","Brasil","Português","","","",26
"Mestrado","ACADEMICO","Cache Cooperativo Aplicado ao Protocolo GIOP em Redes AD HOC Móveis","2009","Brasil","Português","","","",27
