NATUREZA,TITULO-DO-TRABALHO-TECNICO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TRABALHO-TECNICO-INGLES,TRABALHO-TECNICO_Id
"ASSESSORIA","Membro do Comitê de Programa do XXXV Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC)","2017","Brasil","Português","NAO_INFORMADO","","NAO","","",0
"ASSESSORIA","Membro do Comitê de Programa do XVI Workshop em Desempenho de Sistemas Computacionais e de Comunicação (WPerformance)","2017","Brasil","Português","NAO_INFORMADO","","NAO","","",1
"ASSESSORIA","Membro do Comitê de Programa do XV Workshop em Desempenho de Sistemas Computacionais e de Comunicação (WPerformance)","2016","Brasil","Português","NAO_INFORMADO","","NAO","","",2
"ASSESSORIA","Membro do Comitê de Programa do XIV Workshop em Desempenho de Sistemas Computacionais e de Comunicação (WPerformance)","2015","Brasil","Português","NAO_INFORMADO","","NAO","","",3
"ASSESSORIA","Membro do Comitê de Programa do XIII Workshop em Desempenho de Sistemas Computacionais e de Comunicação (WPerformance)","2014","Brasil","Português","NAO_INFORMADO","","NAO","","",4
"ASSESSORIA","Membro do Comitê de Programa do XII Workshop em Desempenho de Sistemas Computacionais e de Comunicação (WPerformance)","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",5
"ASSESSORIA","Membro do Comitê de Programa do XVIII Workshop de Software Livre (WSL)","2017","Brasil","Português","NAO_INFORMADO","","NAO","","",6
"ASSESSORIA","Membro do Comitê de Programa do XVII Workshop de Software Livre (WSL)","2016","Brasil","Português","NAO_INFORMADO","","NAO","","",7
"ASSESSORIA","Membro do Comitê de Programa do XVI Workshop de Software Livre (WSL)","2015","Brasil","Português","NAO_INFORMADO","","NAO","","",8
"ASSESSORIA","Membro do Comitê de Programa da trilha Minicursos do XXXI Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC)","2013","Brasil","Português","NAO_INFORMADO","","NAO","","",9
"ASSESSORIA","Membro do Comitê de Programa do XI Workshop em Desempenho de Sistemas Computacionais e de Comunicação (WPerformance)","2012","Brasil","Português","NAO_INFORMADO","","NAO","","",10
