DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,ORGANIZACAO-DE-EVENTO_Id,RELATORIO-DE-PESQUISA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"Mês: Outubro
Linha de pesquisa: Teoria da computação e algoritmos
 - Análise de algoritmos","",0,,,,,
"Mês: Setembro
Linha de pesquisa: Teoria da computação e algoritmos
 - Análise de algoritmos","",1,,,,,
"Mês: Maio
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas","",2,,,,,
"Mês: Junho
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas","",3,,,,,
"Mês: Outubro
Linha de pesquisa: Sistemas de informação - Engenharia de software","",4,,,,,
"Mês: Junho
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas","",5,,,,,
"Mês: Julho
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas","",6,,,,,
"Mês: Abril
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas","",7,,,,,
"Mês: Maio
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas","",8,,,,,
"Mês: Março
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas","",9,,,,,
"Mês: Julho
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas","",10,,,,,
"Mês: Maio
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas
Vínculo com tese de doutorado","",11,,,,,
"Mês: Outubro
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas
Vínculo com tese de doutorado, não concluída","",12,,,,,
"Mês: Maio
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas
Vínculo com tese de doutorado","",13,,,,,
"Mês: Outubro
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas","",14,,,,,
"Mês: Outubro
Linha de pesquisa: Sistemas de computação - Sistemas tolerantes a falhas
Vínculo com dissertação de mestrado","",15,,,,,
"Mês: julho 
Vinculada a dissertação de mestrado do IC-UNICAMP
concluída em 2003","",17,,,,,
"Mês: maio
Linhas e grupos de pesquisa: Sistemas de Computação - Sistemas Tolerantes a Falhas","",18,,,,,
"Vínculada a dissertação de mestrado do IC-UNICAMP em andamento.
Total de discentes (autoria): 1
Qualis: B5","",23,,,,,
"Participação discente: Neumar Costa Malheiros e Luciano Jerez Chaves","",24,,,,,
"Participação discente: André Oriani
Qualis: A2","",25,,,,,
"Julho
Sistemas de computação 
Sistemas tolerantes a falhas","",32,,,,,
"Mês: Setembro
Linha de pesquisa: Teoria da computação e algoritmos
 - Análise de algoritmos","",,0,,,,
"Link do periódico: http://link.springer.com/journal/13173
Participação do aluno de doutorado: Luciano J. Chaves","",,1,,,,
"Link do periódico: http://link.springer.com/journal/10586
Participação do ex-aluno de doutorado: Gustavo D. M. Vieira
 Print ISSN: 1386-7857
Online ISSN: 1573-7543","",,2,,,,
"Evento pertencente à série Fóruns Permanentes do Conhecimento","",,,0,,,
"Relatório Técnico IC-10-13","",,,,0,,
"Mês: Outubro
Linha de pesquisa: Sistemas de Computação - Sistemas
tolerantes a falhas","",,,,,1,
"Este trabalho recebeu o prêmio de MÉRITO CIENTÍFICO, por ter sido avaliado como um dos melhores projetos do XXIII Congresso de Iniciação Científica da UNICAMP.","",,,,,,3
