AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id
0,0,,,,,,,,,,,,,,
1,,0,,,,,,,,,,,,,
2,,,0,,,,,,,,,,,,
3,,,,8,,,,,,,,,,,
4,,,,9,,,,,,,,,,,
5,,,,21,,,,,,,,,,,
6,,,,22,,,,,,,,,,,
7,,,,23,,,,,,,,,,,
8,,,,24,,,,,,,,,,,
9,,,,25,,,,,,,,,,,
10,,,,26,,,,,,,,,,,
11,,,,27,,,,,,,,,,,
12,,,,28,,,,,,,,,,,
13,,,,29,,,,,,,,,,,
14,,,,37,,,,,,,,,,,
15,,,,42,,,,,,,,,,,
16,,,,,0,,,,,,,,,,
17,,,,,1,,,,,,,,,,
18,,,,,,1,,,,,,,,,
19,,,,,,2,,,,,,,,,
20,,,,,,,0,,,,,,,,
21,,,,,,,1,,,,,,,,
22,,,,,,,2,,,,,,,,
23,,,,,,,,9,,,,,,,
24,,,,,,,,,11,,,,,,
25,,,,,,,,,12,,,,,,
26,,,,,,,,,13,,,,,,
27,,,,,,,,,14,,,,,,
28,,,,,,,,,15,,,,,,
29,,,,,,,,,16,,,,,,
30,,,,,,,,,17,,,,,,
31,,,,,,,,,18,,,,,,
32,,,,,,,,,19,,,,,,
33,,,,,,,,,,8,,,,,
34,,,,,,,,,,9,,,,,
35,,,,,,,,,,,2,,,,
36,,,,,,,,,,,6,,,,
37,,,,,,,,,,,7,,,,
38,,,,,,,,,,,,14,,,
39,,,,,,,,,,,,,0,,
40,,,,,,,,,,,,,2,,
41,,,,,,,,,,,,,,1,
42,,,,,,,,,,,,,,2,
43,,,,,,,,,,,,,,4,
44,,,,,,,,,,,,,,5,
45,,,,,,,,,,,,,,6,
46,,,,,,,,,,,,,,8,
47,,,,,,,,,,,,,,19,
48,,,,,,,,,,,,,,20,
49,,,,,,,,,,,,,,21,
50,,,,,,,,,,,,,,22,
51,,,,,,,,,,,,,,23,
52,,,,,,,,,,,,,,30,
53,,,,,,,,,,,,,,96,
54,,,,,,,,,,,,,,98,
55,,,,,,,,,,,,,,99,
56,,,,,,,,,,,,,,100,
57,,,,,,,,,,,,,,101,
58,,,,,,,,,,,,,,102,
59,,,,,,,,,,,,,,103,
60,,,,,,,,,,,,,,,1
61,,,,,,,,,,,,,,,2
62,,,,,,,,,,,,,,,13
63,,,,,,,,,,,,,,,14
64,,,,,,,,,,,,,,,72
65,,,,,,,,,,,,,,,73
66,,,,,,,,,,,,,,,76
67,,,,,,,,,,,,,,,79
