NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MUSICA_Id
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",0,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",1,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",2,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",3,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",4,,,,,,,,,,
"Aci Taveira Meyer","MEYER, Aci Taveira","2","",4,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",5,,,,,,,,,,
"Maria Dorothea Chagas Correa","CORREA, M. D. C.","2","",5,,,,,,,,,,
"Ana Carolina inocêncio Gondim","GONDIM, A. C. I.","3","",5,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",6,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",7,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",8,,,,,,,,,,
"CORREA, Dorothea Chagas","CORREA, Dorothea Chagas","2","",8,,,,,,,,,,
"SOUSA, Ana Lúcia N.","SOUSA, Ana Lúcia N.","3","",8,,,,,,,,,,
"ARAGÃO, Ana Maria F. S.","ARAGÃO, Ana Maria F. S.","1","",9,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",9,,,,,,,,,,
"CORREA, Dorothea Chagas","CORREA, Dorothea Chagas","3","",9,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",10,,,,,,,,,,
"Daniel Chris Amato","AMATO, D. C.","1","",11,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",11,,,,,,,,,,
"Liana Arrais Serodio","SERODIO, L. A.","1","",12,,,,,,,,,,
"Ilza Zenker Joly","JOLY, I. Z.","2","",12,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",12,,,,,,,,,,
"Guilherme do Val Toledo Prado","PRADO, G. V. T.","4","",12,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",13,,,,,,,,,,
"Liana Arrais Serodio","SERODIO, L. A.","2","",13,,,,,,,,,,
"Ilza Zenker Joly","JOLY, I. Z.","3","",13,,,,,,,,,,
"Márcia Regina Nepomuceno dos Santos Oliveira","OLIVEIRA, Marcia Regina N. S.","1","",14,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",14,,,,,,,,,,
"Daniel Chris Amato","AMATO, D. C.","1","",15,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",15,,,,,,,,,,
"Fernanda Maria Macahiba Massagardi","MASSAGARDI, Fernanda Maria M.","1","",16,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",16,,,,,,,,,,
"Ana Lia Della Torre","TORRE, Ana Lia D.","1","",17,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",17,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, ADRIANA","1","",18,,,,,,,,,,
"KAWAGUCHI CESAR, PATRICIA","KAWAGUCHI CESAR, PATRICIA","2","",18,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, ADRIANA","1","",19,,,,,,,,,,
"BRIENZA DE ALMEIDA, RAFAEL","BRIENZA DE ALMEIDA, RAFAEL","2","",19,,,,,,,,,,
"Karen Ildete Stahl Soler Zaneti","ZANETI, Karen S. S. Z.","1","",20,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",20,,,,,,,,,,
"Márcia Regina Nepomuceno dos Santos Oliveira","OLIVEIRA, Marcia Regina N. S.","1","",21,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",21,,,,,,,,,,
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","1","",22,,,,,,,,,,
"Vilson Zattera","ZATTERA, Vilson","2","",22,,,,,,,,,,
"José Eduardo Fornari Novo Junior","NOVO JUNIOR, J. E. F.","3","",22,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","4","",22,,,,,,,,,,
"Angélica María Contreras Peña","PEÑA, Angélica María C.","1","",23,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",23,,,,,,,,,,
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","1","",24,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",24,,,,,,,,,,
"Patricia Kawaguchi Cesar","CESAR, Patricia K.","1","",25,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",25,,,,,,,,,,
"Liana Arrais Serodio","SERODIO, L. A.","1","",26,,,,,,,,,,
"Ilza Zenker Joly","JOLY, I. Z.","2","",26,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","3","",26,,,,,,,,,,
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","1","",27,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",27,,,,,,,,,,
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","1","",28,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",28,,,,,,,,,,
"Marina Maugeri","MAUGERI, M.","1","",29,,,,,,,,,,
"Tulio Padilha Pires","PIRES, T. P.","2","",29,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","3","",29,,,,,,,,,,
"Luis Britto Passos Amato","AMATO, L. B. P.","4","",29,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",30,,,,,,,,,,
"Edgar Armeliato","ARMELIATO, E.","2","",30,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",31,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",32,,,,,,,,,,
"Suelen Turibio Lopes","LOPES, S. T.","2","",32,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",33,,,,,,,,,,
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","2","",33,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",34,,,,,,,,,,
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","2","",34,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",35,,,,,,,,,,
"Cecilia Paulozzi Melo","MELO, Cecilia P.","2","",35,,,,,,,,,,
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","1","",36,,,,,,,,,,
"Mateus Ricciardi","RICCIARDI, Mateus","2","",36,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","3","",36,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",37,,,,,,,,,,
"Cecilia Paulozzi Melo","MELO, Cecilia P.","2","",37,,,,,,,,,,
"Karen Ildete Stahl Soler Zaneti","ZANETI, Karen S. S. Z.","3","",37,,,,,,,,,,
"Airton Cesar de Oliveira","OLIVEIRA, Airton C. de","4","",37,,,,,,,,,,
"Gerson Branco Abdala","ABDALA, Gerson B.","5","",37,,,,,,,,,,
"Matheus Barros de Paula","PAULA, Matheus B.","6","",37,,,,,,,,,,
"Sandra Cielavin","CIELAVIN, S.","1","",38,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, ADRIANA","2","",38,,,,,,,,,,
"Alexandre Henrique dos Santos","SANTOS, Alexandre H.","1","",39,,,,,,,,,,
"José Eduardo Fornari Novo Junior","NOVO JUNIOR, J. E. F.","2","",39,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","3","",39,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",40,,,,,,,,,,
"Airton Cesar de Oliveira","OLIVEIRA, Airton C. de","2","",40,,,,,,,,,,
"Ana Maria Paes Leme Carrijo Abrahão","ABRAHÃO, Ana Maria P. L. C.","3","",40,,,,,,,,,,
"Felipe de Souza Oliveira Galeno","GALENO, Felipe S. O.","4","",40,,,,,,,,,,
"Paulo Cesar Cadima","CADIMA, P. C.","5","",40,,,,,,,,,,
"Rafaela Sacogne Bermond","BERMOND, Rafaela S.","6","",40,,,,,,,,,,
"Karen Ildete Stahl Soler Zaneti","ZANETI, Karen S. S. Z.","1","",41,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",41,,,,,,,,,,
"Ana Lis de Nobrega Marum","MARUM, A. L. N.","1","",42,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","2","",42,,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,0,,,,,,,,,
"Fernanda Maria Macahiba Massagardi","MASSAGARDI, Fernanda Maria M.","2","",,0,,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,1,,,,,,,,,
"Glauber Lúcio Alves Santiago","SANTIAGO, G. L. A.","1","",,,0,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,,0,,,,,,,,
"MILL, Daniel","MILL, Daniel","3","",,,0,,,,,,,,
"Glauber Lúcio Alves Santiago","SANTIAGO, G. L. A.","1","",,,1,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,,1,,,,,,,,
"Glauber Lúcio Alves Santiago","SANTIAGO, G. L. A.","1","",,,2,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","2","",,,2,,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,0,,,,,,,
"Patricia Kawaguchi Cesar","CESAR, Patricia K.","2","",,,,0,,,,,,,
"Mirela Garcia dos Reis","REIS, Mirela G.","1","",,,,1,,,,,,,
"Érika Boaventura","BOAVENTURA, E.","2","",,,,1,,,,,,,
"Fernando de Souza Jorge","JORGE, Fernando S.","3","",,,,1,,,,,,,
"Suelen Turibio Lopes","LOPES, S. T.","4","",,,,1,,,,,,,
"Tiago Liu Rabioglio Cotrim","COTRIM, Tiago Liu R.","5","",,,,1,,,,,,,
"Diana Yumi Shirata Lanças","LANÇAS, Diana Y. S.","6","",,,,1,,,,,,,
"Yandara Pimentel Mendes","MENDES, Yandara P.","7","",,,,1,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","8","",,,,1,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,2,,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,0,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,1,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,2,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,3,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,4,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,5,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,6,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,7,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, A. N. A.","1","",,,,,8,,,,,,
"Adriana do Nascimento Araujo Mendes","MENDES, Adriana N. A.","1","",,,,,9,,,,,,
"José Augusto Mannis","MANNIS, José A.","1","",,,,,10,,,,,,
