BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-JULGADORA_Id
0,"52",0
1,"94",0
2,"104",0
3,"122",0
4,"143",0
5,"144",0
6,"145",0
7,"146",0
8,"147",0
9,"148",0
10,"149",0
11,"160",0
12,"164",0
13,"165",0
14,"166",0
15,"174",0
16,"175",0
17,"188",0
18,"196",0
19,"197",0
20,"237",0
21,"238",0
22,"293",0
23,"295",0
24,"296",0
25,"297",0
26,"298",0
27,"299",0
28,"301",0
29,"302",0
30,"303",0
31,"305",0
32,"306",0
33,"307",0
34,"308",0
35,"309",0
36,"310",0
37,"311",0
38,"312",0
39,"313",0
40,"314",0
41,"315",0
42,"316",0
43,"317",0
44,"319",0
45,"320",0
46,"321",0
47,"352",0
48,"353",0
49,"441",0
50,"442",0
51,"443",0
52,"444",0
53,"445",0
54,"446",0
55,"447",0
56,"448",0
57,"449",0
58,"450",0
59,"451",0
60,"452",0
61,"453",0
62,"455",0
63,"460",0
64,"461",0
65,"462",0
66,"463",0
67,"464",0
68,"465",0
69,"466",0
70,"467",0
71,"468",0
72,"488",0
73,"489",0
74,"490",0
75,"491",0
76,"492",0
77,"493",0
78,"494",0
79,"502",0
80,"318",0
