NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id
"Professor titular","Banca de Vestibular para o Curso de Música da Unicamp","2009","Brasil","Português","","","",0
"Professor titular","Banca de Vestibular para o Curso de Música da Unicamp","2010","Brasil","Português","","","",1
"Professor titular","Banca de Vestibular para o Curso de Música da Unicamp","2011","Brasil","Português","","","",2
"Professor titular","Banca de Vestibular para o Curso de Música da Unicamp","2011","Brasil","Português","","","",3
"Professor titular","Banca de Qualificação de Mestrado de Cleodiceles Branco Nogueira","2011","Brasil","Português","","","",4
"Professor titular","Banca de Defesa de Dissertação de Mestrado de Cleodiceles Branco Nogueira","2012","Brasil","Português","","","",5
"Professor titular","Banca de Monografia II de Doutorado de Elizabeth Carrascosa Martinez","2011","Brasil","Português","","","",6
"Professor titular","Banca de Monografia II de Doutorado de Cristiane Hatsuo Vital Otuttumi.","2011","Brasil","Português","","","",7
"Professor titular","Banca de Recital de Mestrado de Claudia Gonçalves Jennings","2011","Brasil","Português","","","",8
"Professor titular","Banca de Qualificação de Mestrado de Aline da Silva Alves","2011","Brasil","Português","","","",9
"Professor titular","Banca de Monografia I de Doutorado de Cristiane Hatsuo Vital Otututmi","2011","Brasil","Português","","","",10
"Professor titular","Banca de Qualificação de Mestrado de Leonardo A. C. Oliveira","2012","Brasil","Português","","","",11
"Professor titular","Banca de Monografia de Doutorado de Ellen Borger Stencel","2012","Brasil","Português","","","",12
"Professor titular","Banca de Monografia de Doutorado de Ronaldo Silva","2012","Brasil","Português","","","",13
"Professor titular","A audiação notacional e a capacidade da memória de trabalho visual: um estudo de estímulos para teste-piloto","2012","Brasil","Português","","","",14
"Professor titular","Banca de seleção para candidatos do programa de Pós-graduação em música do IA/Unicamp","2013","Brasil","Português","","","",15
"Professor titular","Avaliadora,aplicadora e corretora das provas de Habilidade Específica do Vestibular Unicamp","2013","Brasil","Português","","","",16
"Professor titular","Coordenação da Comissao Cientifica do VI Encontro de Educacao Musical do Instituto de Artes _UNICAMP","2013","Brasil","Português","","","",17
"Professor titular","Banca de Qualificação de mestrado","2013","Brasil","Português","","","",18
"Professor titular","Banca de Qualificação de Doutorado de Roberto Marcos Gomes de Onofrio","2014","Brasil","Português","","","",19
"Professor titular","Banca de Defesa de Tese de Doutorado de Elizabeth Carrascosa Martinez","2014","Brasil","Português","","","",20
"Professor titular","Presidente da Banca de Qualificação de mestrado de Angélica María Contreras Peña","2015","Brasil","Português","","","",21
"Professor titular","Banca de Qualificação de Mestrado de Paola Cecilia Albano","2015","Brasil","Português","","","",22
"Professor titular","Banca de Qualificação de Mestrado de Maria Lucila Guimarães Junqueira","2015","Brasil","Português","","","",23
"Professor titular","Banca de Qualificação de Mestrado de Cláudia Liedke","2014","Brasil","Português","","","",24
"Professor titular","Banca de Qualificação de Mestrado de Endre Solti","2014","Brasil","Português","","","",25
"Professor titular","Presidente da Banca de Qualificação de mestrado de Alexandre Henrique dos Santos","2014","Brasil","Português","","","",26
"Professor titular","Banca de Qualificação de Doutorado de Rodrigo Gudin Paiva","2014","Brasil","Português","","","",27
"Professor titular","Banca de Comissão Julgadora de Defesa de Dissertação de Gilber Cesar Souto maior","2014","Brasil","Português","","","",28
"Professor titular","Banca de Exame de Qualificação de Mestrado de Daniel Amato","2014","Brasil","Português","","","",29
"Professor titular","Presidente da Comissão Julgadora da Defesa de Dissertação de Rafael Keidi Kashima","2014","Brasil","Português","","","",30
"Professor titular","Concurso público para Professor de 3º Grau na área de Educação Musical da UFPB","2014","Brasil","Português","","","",31
"Professor titular","Comissão julgadora da Tese de Doutorado de Liana Arrais Serodio","2014","Brasil","Português","","","",32
"Professor titular","Banca de Qualificação de Raphael Ota","2014","Brasil","Português","","","",33
"Professor titular","Comissão julgadora da Defesa de Tese de Andreia Miranda de Moraes Nascimento","2014","Brasil","Português","","","",34
"Professor titular","Banca de Monografia II de Roberto Marcos Gomes de Onofrio","2013","Brasil","Português","","","",35
"Professor titular","Banca de Monografia de Doutorado de Rodrigo Gudin Paiva","2013","Brasil","Português","","","",36
"Professor titular","Banca de Monografia II de Caroline Caregnato","2013","Brasil","Português","","","",37
"Professor titular","Banca de Qualificação de Doutorado de Ronaldo da Silva","2013","Brasil","Português","","","",38
"Professor titular","Presidente da Banca de Qualificação de Tilsa Isadora Julia Sanchez Hermosa","2013","Brasil","Português","","","",39
"Professor titular","Banca de Qualificação de Aton Damasio","2013","Brasil","Português","","","",40
"Professor titular","Banca de Qualificação de Mestrado de Gilber Cesar Souto Maior","2013","Brasil","Português","","","",41
"Professor titular","Comissão Examinadora para Defesa de Dissertação de Mestrado de Leonardo Augusto Cardoso de Oliveira","2013","Brasil","Português","","","",42
"Professor titular","Presidente da Banca de Qualificação de Mestrado de Rafael Keidi Kashima","2013","Brasil","Português","","","",43
"Professor titular","Banca Examinadora do Vestibular Unicamp","2014","Brasil","Português","","","",44
"Professor titular","Comissão julgadora da Defesa de Dissertação de Mestrado de Raphael Ota","2014","Brasil","Português","","","",45
"Professor titular","Presidente da Comissão Julgadora da Defesa de Dissertação de Tilsa Isadora Julia Sanchez Hermosa","2014","Brasil","Português","","","",46
"Professor titular","Banca de Defesa de Mestrado de Endre Solti","2015","Brasil","Português","","","",47
"Professor titular","Presidente da Banca de Defesa de Dissertação de Mestrado de Angélica María Contreras Peña","2016","Brasil","Português","","","",48
"Professor titular","Banca de Defesa de Tese de Doutorado de Rodrigo Gudin Paiva","2015","Brasil","Português","","","",49
"Professor titular","Banca de Defesa de Tese de Doutorado de Ronaldo da Silva","2015","Brasil","Português","","","",50
"Professor titular","Presidente da Banca de Defesa de Dissertação de Mestrado de Lucilene Ferreira da Silva","2016","Brasil","Português","","","",51
"Professor titular","Banca de Defesa de Dissertação de Mestrado de Mateus Vinícius Corusse","2016","Brasil","Português","","","",52
"Professor titular","Banca de Defesa de Dissertação de Mestrado de Maria Lucila Guimarães Junqueira","2015","Brasil","Português","","","",53
"Professor titular","Presidente da Banca de Defesa de Dissertação de Mestrado de Alexandre Henrique dos Santos","2015","Brasil","Português","","","",54
"Professor titular","Banca de Qualificação de Doutorado de Adriana Barea Cardoso","2016","Brasil","Português","","","",55
"Professor titular","Banca de Qualificação de Doutorado de Marla Ebinger Moraes Liidtke","2016","Brasil","Português","","","",56
"Professor titular","Banca de Qualificação de Doutorado de Marlon Souza Vieira","2015","Brasil","Português","","","",57
"Professor titular","Banca de Qualificação de Doutorado de Felipe Zamunere Vecchini","2015","Brasil","Português","","","",58
"Professor titular","Banca de Qualificação de Doutorado de Mateus Vinícius Corusse","2015","Brasil","Português","","","",59
"Professor titular","Banca de Qualificação de Doutorado de Ana Paula Lima de Albuquerque","2015","Brasil","Português","","","",60
"Professor titular","Presidente da Banca de Qualificação de Mestrado de Lucilene Ferreira da Silva","2015","Brasil","Português","","","",61
"Professor titular","Avaliadora de Trabalhos Científicos no VI Jornada de Estudos em Educação Musical (JEEM)","2016","Brasil","Português","","","",62
