NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","Educação musical de crianças surdas","2014","Brasil","","NAO_INFORMADO","http://www.geci.ibilce.unesp.br/logica_de_aplicacao/site/index_1.jsp?id_evento=31","NAO","Apresentação oral","Participante","","","SIM",0
"Congresso","Listen to another school! Dialogues between schools and universities","2014","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",1
"Congresso","O perfil do idoso no coral da terceira idade","2013","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","O perfil do idoso no coral da terceira idade","NAO",2
"Congresso","Reflexões acerca do ensino de música escolar: trabalhando com multiplicidades","2011","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",3
"Congresso","A extensão como espaço de formação do educador musical","2009","Brasil","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",4
"Congresso","Manual de brincadeiras-uma releitura para a aplicação das atividades nas aulas de música","2013","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","SIM",5
"Congresso","Paisagens sonoras e Parangolés: uma proposta interdisciplinar entre alunos dos cursos de graduação em Artes Visuais, Música e Dança","2014","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","NAO",6
"Congresso","Música para adolescentes","2016","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",7
"Congresso","","2012","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",8
"Congresso","Simposio em Educação Musical","2014","Brasil","","NAO_INFORMADO","http://www.isme.org/about","NAO","Outras formas","Participante","","","SIM",9
"Congresso","Uma experiência de inclusão de alunos portadores de necessidades educacionais especiais","2008","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",10
"Congresso","","2007","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","SIM",11
"Congresso","A transmissão de conhecimentos em Educação Musical para professores de Arte do Ensino Fundamental - uma experiência dentro do projeto Teia do Saber da Unicamp e da Secretaria Estadual da Educação","2007","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",12
"Congresso","Módulos virtuais para auxiliar na EJA","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",13
"Congresso","","2008","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","SIM",14
"Congresso","","2007","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",15
"Congresso","participação no Grupo de Trabalho","2011","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","SIM",16
"Congresso","Educação musical para crianças surdas como meio de inclusão social: instrumento na construção do conhecimento e desenvolvimento humano","2014","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",17
"Congresso","","2008","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",18
"Congresso","Manual de brincadeiras-uma releitura para a aplicação das atividades nas aulas de música","2013","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",19
"Congresso","O impacto do projeto Conexão do Saber e sua contribuição para um ensino dinâmico","2008","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",20
"Congresso","Professores e alunos construindo atividades complementares por meio do projeto Conexão do Saber","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",21
"Congresso","Educação na escola inclusiva","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","SIM",22
