NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-ENCONTRO_Id
"Encontro","Oficina de criação musical","2014","Brasil","","NAO_INFORMADO","https://www.fe.unicamp.br/eventoCPFP2014/","NAO","Outras formas","Participante","","","SIM",0
"Encontro","Apresentação da fanfarra da E. E. José Vilagelin Neto e vídeo","2013","Brasil","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",1
"Encontro","Coordenador da mesa-redonda: "Formação e práticas do educador musical"","2010","Brasil","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",2
"Encontro","O ensino musical nas escolas de educação básica","2016","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","SIM",3
"Encontro","Jogos computacionais na educação- uma aplicação ao ensino de música","2011","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",4
"Encontro","O papel do jogo na Educação Musical","2011","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",5
"Encontro","Considerações sobre o curso de licenciatura em Música da Unicamp","2014","Brasil","","NAO_INFORMADO","http://efpmusico.com/","NAO","Apresentação oral","Participante","","","SIM",6
"Encontro","I Mostra PIBID/Unicamp-Coordenação da apresentação da fanfarra da Escola José Vilagelin Neto","2013","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","SIM",7
"Encontro","","2013","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","SIM",8
"Encontro","","2012","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",9
"Encontro","A Pesquisa em Educação Musical","2014","Brasil","","NAO_INFORMADO","http://abemeducacaomusical.com.br/conferencias/index.php/regional_sudeste/index/schedConfs/current","NAO","Simposista","Convidado","","","SIM",10
"Encontro","Jogos computacionais na educação- uma aplicação ao ensino de música","2011","Brasil","","NAO_INFORMADO","","NAO","Poster / Painel","Participante","","","NAO",11
"Encontro","Participação em Concerto de flauta doce","2011","Brasil","","NAO_INFORMADO","","NAO","Outras formas","Participante","","","SIM",12
"Encontro","comunicações orais","2009","Brasil","","NAO_INFORMADO","","NAO","Apresentação oral","Participante","","","SIM",13
"Encontro","Ensino da escuta musical consciente para a escola regular através de aulas desenvolvidas para computador","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",14
"Encontro","Aulas virtuais para trabalhar a escuta musical consciente de alunos do 5o ano do Ensino Fundamental","2008","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",15
"Encontro","As diferentes possibilidades de atuação do educador musical nas escolas","2011","Brasil","","NAO_INFORMADO","","NAO","Outras Formas","Participante","","","NAO",16
"Encontro","Oficina de ?Atividades práticas para a musicalização?","2009","Brasil","","NAO_INFORMADO","","NAO","Conferencista","Convidado","","","NAO",17
"Encontro","","2012","Brasil","","NAO_INFORMADO","","NAO","","Ouvinte","","","SIM",18
"Encontro","Responsável pelos alunos da "Oficina de musicalização da Unicamp"","2012","Brasil","","NAO_INFORMADO","","NAO","Moderador","Convidado","","","NAO",19
