NIVEL-DO-CURSO,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"EXTENSAO","Disciplina ministrada no curso de extensão ?Artes Visuais, Intermeios e Educação?","2011","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",0
"EXTENSAO","Disciplina ministrada no curso de Extensão Artes, Intermeios e Educação","2012","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",1
"EXTENSAO","Disciplina ministrada no curso de Extensão Artes, Intermeios e Educação","2013","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",2
"EXTENSAO","Disciplina ministrada no curso de extensão ?Artes Visuais, Intermeios e Educação?","2014","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",3
"EXTENSAO","Teia do Saber","2005","Brasil","Português","OUTRO","","NAO","","","NAO",4
"EXTENSAO","Teia do Saber","2006","Brasil","Português","OUTRO","","NAO","","","NAO",5
"EXTENSAO","Teia do Saber","2007","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",6
"OUTRA","1.	Oficina de criação musical. Formação de Professores e Programas Institucionais: Políticas Públicas em Contexto","2014","Brasil","Português","IMPRESSO","","NAO","","","NAO",7
"OUTRA","Oficina de ?Vivências musicais e brincadeiras infantis"","2009","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",8
"OUTRA","Oficina ?Atividades práticas para a musicalização","2009","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",9
"OUTRA","Oficina de parangolés e paisagens sonoras","2014","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",10
