NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,HOME-PAGE,MEIO-DE-DIVULGACAO,FLAG-DIVULGACAO-CIENTIFICA,PROGRAMA-DE-RADIO-OU-TV_Id
"MESA_REDONDA","Mediadora da mesa redonda:'O ensino musical no Brasil e a Integração Latinoamericana'","2013","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",0
"PROGRAMA","Programa Palavras Cruzadas","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","SIM",1
"PROGRAMA","A música volta às escolas","2009","Brasil","Português","NAO","","","","NAO_INFORMADO","SIM",2
"MESA_REDONDA","Diálogos entre as linguagens artísticas- possibilidades educacionais","2015","Brasil","Português","NAO","","","","NAO_INFORMADO","SIM",3
"ENTREVISTA","A nova Lei 11.769 de ensino obrigatório de música nas escolas","2008","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",4
"MESA_REDONDA","A estrutura curricular dos cursos de licenciatura em música","2008","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",5
"MESA_REDONDA","Estrategias metodológicas para el aprendizaje de la Música","2008","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",6
"MESA_REDONDA","Moderador na Mesa Redonda ?Os estágios pedagógicos como forma de integração entre ensino, pesquisa e extensão?","2009","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",7
"MESA_REDONDA","Moderador na Mesa Redonda ?Os cursos superiores de Música e a extensão universitária'","2009","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",8
"MESA_REDONDA","Coordenador da mesa-redonda: 'Formação e práticas do educador musical?","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",9
"PROGRAMA","Música na Escola","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",10
"MESA_REDONDA","As diferentes possibilidades de atuação do educador musical nas escolas","2011","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",11
"MESA_REDONDA","A pesquisa em Educação Musical na Região Sudeste: conquistas, desafios e perspectivas","2014","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",12
"MESA_REDONDA","O aluno da licenciatura em Música e sua formação","2014","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",13
"ENTREVISTA","A Lei 11.769","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",14
