CODIGO-INSTITUICAO,NOME-INSTITUICAO,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id
"007900000004","Universidade Estadual de Campinas",0
"007900000004","Universidade Estadual de Campinas",1
"","",2
"007900000004","Universidade Estadual de Campinas",3
"007900000004","Universidade Estadual de Campinas",4
"007900000004","Universidade Estadual de Campinas",5
"007900000004","Universidade Estadual de Campinas",6
"007900000004","Universidade Estadual de Campinas",7
"007900000004","Universidade Estadual de Campinas",8
"007900000004","Universidade Estadual de Campinas",9
"007900000004","Universidade Estadual de Campinas",10
"007900000004","Universidade Estadual de Campinas",11
"007900000004","Universidade Estadual de Campinas",12
"007900000004","Universidade Estadual de Campinas",13
"007900000004","Universidade Estadual de Campinas",14
"","",15
"007900000004","Universidade Estadual de Campinas",16
"007900000004","Universidade Estadual de Campinas",17
"007900000004","Universidade Estadual de Campinas",18
"007900000004","Universidade Estadual de Campinas",19
"007900000004","Universidade Estadual de Campinas",20
"007900000004","Universidade Estadual de Campinas",21
"007900000004","Universidade Estadual de Campinas",22
"007900000004","Universidade Estadual de Campinas",23
"007900000004","Universidade Estadual de Campinas",24
"007900000004","Universidade Estadual de Campinas",25
"007900000004","Universidade Estadual de Campinas",26
"007900000004","Universidade Estadual de Campinas",27
"007900000004","Universidade Estadual de Campinas",28
"071500000009","Pontifícia Universidade Católica de Campinas",29
"007900000004","Universidade Estadual de Campinas",30
"008300000001","Universidade Federal da Paraíba",31
"007900000004","Universidade Estadual de Campinas",32
"007900000004","Universidade Estadual de Campinas",33
"007900000004","Universidade Estadual de Campinas",34
"007900000004","Universidade Estadual de Campinas",35
"007900000004","Universidade Estadual de Campinas",36
"","",37
"","",38
"007900000004","Universidade Estadual de Campinas",39
"007900000004","Universidade Estadual de Campinas",40
"007900000004","Universidade Estadual de Campinas",41
"007900000004","Universidade Estadual de Campinas",42
"007900000004","Universidade Estadual de Campinas",43
"007900000004","Universidade Estadual de Campinas",44
"007900000004","Universidade Estadual de Campinas",45
"007900000004","Universidade Estadual de Campinas",46
"","",47
"007900000004","Universidade Estadual de Campinas",48
"007900000004","Universidade Estadual de Campinas",49
"007900000004","Universidade Estadual de Campinas",50
"007900000004","Universidade Estadual de Campinas",51
"007900000004","Universidade Estadual de Campinas",52
"007900000004","Universidade Estadual de Campinas",53
"007900000004","Universidade Estadual de Campinas",54
"007900000004","Universidade Estadual de Campinas",55
"007900000004","Universidade Estadual de Campinas",56
"007900000004","Universidade Estadual de Campinas",57
"007900000004","Universidade Estadual de Campinas",58
"033500000006","Universidade Federal de São Carlos",59
"007900000004","Universidade Estadual de Campinas",60
"007900000004","Universidade Estadual de Campinas",61
"033500000006","Universidade Federal de São Carlos",62
"033000000007","Universidade Estadual Paulista Júlio de Mesquita Filho",63
"033000000007","Universidade Estadual Paulista Júlio de Mesquita Filho",64
"033000000007","Universidade Estadual Paulista Júlio de Mesquita Filho",65
"007900000004","Universidade Estadual de Campinas",66
"007900000004","Universidade Estadual de Campinas",67
"007900000004","Universidade Estadual de Campinas",68
"007900000004","Universidade Estadual de Campinas",69
"033500000006","Universidade Federal de São Carlos",70
"007900000004","Universidade Estadual de Campinas",71
"007900000004","Universidade Estadual de Campinas",72
"007900000004","Universidade Estadual de Campinas",73
"007900000004","Universidade Estadual de Campinas",74
"007900000004","Universidade Estadual de Campinas",75
"007900000004","Universidade Estadual de Campinas",76
"007900000004","Universidade Estadual de Campinas",77
"007900000004","Universidade Estadual de Campinas",78
"007900000004","Universidade Estadual de Campinas",79
"","",80
