PARTICIPACAO-DOS-AUTORES,INSTITUICAO-PROMOTORA-DO-CURSO,LOCAL-DO-CURSO,CIDADE,DURACAO,UNIDADE,UNIDADE-INGLES,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"DOCENTE","Universidade Estadual de Campinas","Instituto de Artes","Campinas-SP","8","horas","",0
"NAO_INFORMADO","Instituto de Artes da Unicamp","Unicamp","Campinas- SP","","","",1
"NAO_INFORMADO","Instituto de Artes da Unicamp","Unicamp","Campinas- SP","","","",2
"NAO_INFORMADO","Instituto de Artes da Unicamp","Unicamp","Campinas- SP","","","",3
"DOCENTE","UNICAMP","UNICAMP","Campinas","20","semanas","",4
"DOCENTE","UNICAMP","UNICAMP","Campinas","20","semanas","",5
"DOCENTE","UNICAMP","UNICAMP","Campinas","32","horas","",6
"NAO_INFORMADO","Faculdade de Educação da UNICAMP","","Campinas","","","",7
"DOCENTE","Festival do Instituto de Artes da Unicamp","Unicamp","Campinas","2","dias","",8
"DOCENTE","UAB/UFSCar","UFSCar","São Carlos","4","horas","",9
"NAO_INFORMADO","Universidade Estadual de Campinas","Faculdade de Educação da Unicamp","Campinas- SP","","","",10
