NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Semana da Música da UFSCar","","","","São Carlos","",0
"I Semana de Educação Musical da Unicamp","","","","Campinas","",1
"Festival do Instituto de Artes (FEIA)","","","","Campinas","",2
"II Encontro de Educação Musical da Unicamp","","","","campinas","",3
"II Encontro de Educação Musical da Unicamp","","","","Campinas","",4
"Fórum de Debates","","","","São Carlos","",5
"II Encontro de Educação Musical da Unicamp","","","","Campinas","",6
"XIV Fórum Latino-americano de Educação Musical - FLADEM","","","","Mérida","",7
"II Encontro de Educação Musical da Unicamp","","","","Campinas","",8
"II Encontro de Educação Musical da Unicamp","","","","Campinas","",9
"VII Curso internacional Orff-Schulwerk","","","","Sao Paulo","",10
"Projeto de Extensão "Música e Comunidade" da UFSCar","","","","São Carlos","",11
"Forum permanente de Arte e Cultura da Unicamp","","","","Campinas","",12
"I Semana da Música da Universidade Metodista de Piracicaba (UNIMEP)","","","","Piracicaba","",13
"Workshop e 5º Encontro de Corais Infanto-juvenis Canarinhos da Terra","","","","Campinas- SP","",14
"Concerto de Inverno da Orquestra Experimental da UFSCar","","","","São Carlos","",15
"Reflexões sobre o Ensino da Arte no Ensino Fundamental e Médio","","","","Campinas- SP","",16
"3ª Semana da Música da Unimep","","","","Piracicaba","",17
"Palestra Ministrada","","","","","",18
"A Educação Especial na perspectiva da Educação Inclusiva","","","","Campinas","",19
