EMISSORA,TEMA,DATA-DA-APRESENTACAO,DURACAO-EM-MINUTOS,CIDADE,PROGRAMA-DE-RADIO-OU-TV_Id
"VI Encontro de Educacao Musical do Instituto de Artes-UNICAMP","O ensino musical no Brasil e a Integração Latinoamericana","15052013","","",0
"DVD","Música na Escola","13092010","50","",1
"WEB e DVD","A Música volta às Escolas-","15042015","38","",2
"Internet","Música além da pauta: a educação musical em diálogo com diferentes saberes","15042015","60","",3
"TV Século XXI","A nova Lei 11.769","11092008","30","Valinhos- SP",4
"","","22102008","","",5
"14º. Forum Latinoamericano de Educação Musical (FLADEM), Merida ? México","","01052008","","",6
"II Encontro de Educação Musical da Unicamp","","06112009","","",7
"II Encontro de Educação Musical da Unicamp","","04112009","","",8
"III Encontro de Educação Musical da Unicamp","","18082010","","",9
"Palavras Cruzadas da RTV UNICAMP","","18082010","","",10
"IV Encontro de Educação Musical da Unicamp","","14092011","","",11
"IX Encontro Regional da ABEM Sudeste","","15102014","","",12
"I Simpósio de Educação Musical da UNISO","","23102014","","",13
"RTV Unicamp","A volta do ensino de música nas escolas","27042010","45","Campinas",14
