FINALIDADE,DURACAO-EM-MESES,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-TRABALHO,FINALIDADE-INGLES,TRABALHO-TECNICO_Id
"Avaliação de projeto","1","1","RESTRITA","","Campinas- SP","",0
"Avaliação de projeto","1","1","RESTRITA","","Campinas- SP","",1
"Avaliação de projeto","1","1","RESTRITA","","Campinas- SP","",2
"Avaliação de projeto","1","1","RESTRITA","","","",3
"Avaliação de projeto","","","RESTRITA","","","",4
"Avaliação de projeto","","","RESTRITA","","","",5
"Avaliação de projeto","","","NAO_INFORMADO","","","",6
"","","","NAO_INFORMADO","","","",7
"","","","NAO_INFORMADO","","","",8
"","","","NAO_INFORMADO","","","",9
"Avaliar revalidação de diploma de título de Doutor","","","NAO_INFORMADO","","","",10
"Parecer técnico para Faepex","","","NAO_INFORMADO","","","",11
"","","","NAO_INFORMADO","","","",12
"Revalidação de título de Mestre de Gustavo Schafaschek","","","NAO_INFORMADO","","","",13
"","","","NAO_INFORMADO","","","",14
"","","","NAO_INFORMADO","","","",15
"","","","NAO_INFORMADO","","","",16
"Projeto de Iniciação Musical - Música e Matemática- Perfectto Projetos e Inovarte","","","NAO_INFORMADO","","","",17
"","","","NAO_INFORMADO","","","",18
"Parecerista do II Fórum de Educação musical da Bahia (FEMBA)","","","NAO_INFORMADO","","","",19
