ENSINO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,TIPO-ENSINO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,NOME-CURSO-INGLES,ATIVIDADES-DE-ENSINO_Id
0,"1","ANTERIOR","GRADUACAO","08","1996","07","1997","","","90000002","Graduação em Música","",0
1,"20","ATUAL","POS-GRADUACAO","08","2011","","","","","33070598","Artes","Arts",0
2,"21","ATUAL","GRADUACAO","08","2011","","","","","60309555","Música","",0
3,"22","ANTERIOR","GRADUACAO","07","2010","04","2011","","","60309555","Música","",0
4,"23","ANTERIOR","GRADUACAO","03","2009","12","2009","","","60309555","Música","",0
5,"24","ANTERIOR","GRADUACAO","08","2008","12","2008","","","60309555","Música","",0
6,"1","ANTERIOR","GRADUACAO","09","1990","05","1991","","","90000004","Bacharelado em Música","",1
7,"2","ANTERIOR","GRADUACAO","09","2007","07","2008","","","90000003","Licenciatura em Educação Musical","",2
8,"1","ANTERIOR","ENSINO-FUNDAMENTAL","03","1996","09","2003","","","","","",3
9,"1","ANTERIOR","POS-GRADUACAO","01","2009","12","2011","","","90000033","Música","",4
10,"1","ANTERIOR","GRADUACAO","01","2010","12","2010","","","60159790","Música","",5
