SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADE-DE-EXTENSAO-REALIZADA,ATIVIDADES-DE-EXTENSAO-UNIVERSITARIA_Id
"2","ANTERIOR","08","2005","12","2005","007901000008","Instituto de Artes","007901001004","Departamento de Música","Programa Teia do Saber",0
"3","ANTERIOR","07","2006","10","2006","007901000008","Instituto de Artes","007901001004","Departamento de Música","Programa Teia do Saber",0
"4","ANTERIOR","09","2007","12","2007","007901000008","Instituto de Artes","","","Teia do Saber",0
"25","ANTERIOR","03","2015","11","2015","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Projeto de Canto Coral para Crianças",0
"26","ANTERIOR","08","2015","10","2015","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Oficina de Música para Pedagogos",0
"27","ANTERIOR","08","2011","10","2014","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Fundamentos Filosóficos da Arte Educação e Práticas em Educação Musical",0
"29","ANTERIOR","03","2014","12","2014","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Projeto de Canto Coral para Crianças",0
"31","ANTERIOR","04","2013","06","2013","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Oficina de Música para Pedagogos",0
"32","ANTERIOR","03","2013","12","2013","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Oficinas de Musicalização",0
"33","ANTERIOR","08","2013","12","2013","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Projeto de Canto Coral para Crianças",0
"34","ANTERIOR","03","2012","12","2012","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Oficinas de Musicalização",0
"35","ANTERIOR","03","2011","12","2011","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Oficinas de Musicalização",0
"36","ANTERIOR","03","2010","12","2010","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Oficinas de Musicalização",0
"37","ANTERIOR","08","2009","12","2009","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","Oficinas de Musicalização",0
"30","ANTERIOR","02","2014","02","2014","007942000002","Reitoria","007942014003","Pró-Reitoria de Extensão e Assuntos Comunitários","A Rítmica Dalcroze: Uma Educação por e para a Música",0
