SEQUENCIA-FORMACAO,NIVEL,CARGA-HORARIA,CODIGO-INSTITUICAO,NOME-INSTITUICAO,CODIGO-ORGAO,NOME-ORGAO,CODIGO-CURSO,NOME-CURSO,STATUS-DO-CURSO,ANO-DE-INICIO,ANO-DE-CONCLUSAO,NOME-CURSO-INGLES,FORMACAO-COMPLEMENTAR_Id
"25","F","","985600126290","Associação Brasileira de Educação Musical","","","90000031","Panorama dos ritmos brasileiros","CONCLUIDO","2008","2008","",0
"17","F","18","342900000001","Universidade Anhembi Morumbi","","","90000023","A improvisação musical 2º a Pedagogia Dalcroze","CONCLUIDO","2013","2013","",0
"27","F","2","007900000004","Universidade Estadual de Campinas","","","90000034","Recent Reforms in Basic Education in the United States","CONCLUIDO","2016","2016","",0
"6","F","16","000400000997","Escola Allegro-SP","","","90000007","XII Oficina de Educação Musical no Brasil","CONCLUIDO","2002","2002","",0
"12","F","3","000700000992","Espaço Mousikêarte","","","90000017","Oficina musical Braille","CONCLUIDO","2012","2012","",0
"26","F","","985600126290","Associação Brasileira de Educação Musical","","","90000032","Para fazer música","CONCLUIDO","2008","2008","",0
"16","F","49","000600000990","Associação Orff Brasil","","","90000022","VII Curso Internacional Orff-Schulwerk","CONCLUIDO","2014","2014","",0
"18","F","3","000800000994","Escola de Artes Pró-Música de Campinas","","","90000024","Tem Dinossauro na Biblioteca?- Silvia Beraldo","CONCLUIDO","2015","2015","",0
"13","F","45","985600126290","Associação Brasileira de Educação Musical","","","90000018","Ensino de música nas escolas:projetos e práticas","CONCLUIDO","2011","2011","",0
"21","F","3","007900000004","Universidade Estadual de Campinas","","","90000027","O método de musicalização de Gazzi de Sá: ferramen","CONCLUIDO","2012","2012","",0
"4","F","40","033500000006","Universidade Federal de São Carlos","","","90000005","Formação Docente para a Educação a distância","CONCLUIDO","2008","2008","",0
"24","F","4","007900000004","Universidade Estadual de Campinas","","","90000030","Desconstruindo a Violência na Escola II: os meus,","CONCLUIDO","2009","2009","",0
"22","F","12","007900000004","Universidade Estadual de Campinas","","","90000028","Metodologias de Alfabetização na EJA","CONCLUIDO","2012","2012","",0
"23","F","4","007900000004","Universidade Estadual de Campinas","","","90000029","Desconstruindo a Violência na Escola I: os meus ,","CONCLUIDO","2009","2009","",0
"28","F","8","001600000999","União das Sociedades Espíritas de Campinas","","","90000035","Contando e Encantando: Oficina de Contação de História","CONCLUIDO","2017","2017","",0
"8","F","40","007900000004","Universidade Estadual de Campinas","","","90000009","Treinamento de professores para o PGL","CONCLUIDO","2001","2001","",0
"15","F","6","000800000994","Escola de Artes Pró-Música de Campinas","","","90000020","Oficina Música para Ser -Thelma Chan","CONCLUIDO","2013","2013","",0
