SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id
"Educação Média de Formação Técnica Ou Profissional","Educação Superior","Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos",0,,,,,,,,,,,
"Artes, cultura, esporte e recreação","Educação","",,0,,,,,,,,,,
"Educação","","",,,0,,,,,,,,,
"Educação","","",,,,8,,,,,,,,
"Educação","","",,,,21,,,,,,,,
"Educação","","",,,,22,,,,,,,,
"Educação","","",,,,23,,,,,,,,
"Educação","","",,,,24,,,,,,,,
"Educação","","",,,,25,,,,,,,,
"Educação","","",,,,26,,,,,,,,
"Educação","","",,,,27,,,,,,,,
"Educação","","",,,,28,,,,,,,,
"Educação","","",,,,29,,,,,,,,
"Educação","","",,,,42,,,,,,,,
"Educação","","",,,,,0,,,,,,,
"Educação","","",,,,,1,,,,,,,
"Educação","","",,,,,,1,,,,,,
"Educação","","",,,,,,2,,,,,,
"Educação","","",,,,,,,19,,,,,
"Artes, cultura, esporte e recreação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,2,,,,
"Artes, cultura, esporte e recreação","Educação","",,,,,,,,,14,,,
"Educação","","",,,,,,,,,,0,,
"Educação","","",,,,,,,,,,,19,
"Educação","","",,,,,,,,,,,20,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,21,
"Educação","","",,,,,,,,,,,22,
"Artes, cultura, esporte e recreação","","",,,,,,,,,,,23,
"Educação","","",,,,,,,,,,,,14
