AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
0,0,,,,,,
1,,0,,,,,
2,,,0,,,,
3,,,1,,,,
4,,,7,,,,
5,,,25,,,,
6,,,28,,,,
7,,,29,,,,
8,,,30,,,,
9,,,31,,,,
10,,,32,,,,
11,,,33,,,,
12,,,34,,,,
13,,,35,,,,
14,,,36,,,,
15,,,37,,,,
16,,,38,,,,
17,,,,2,,,
18,,,,,2,,
19,,,,,3,,
20,,,,,9,,
21,,,,,,3,
22,,,,,,4,
23,,,,,,5,
24,,,,,,6,
25,,,,,,7,
26,,,,,,8,
27,,,,,,9,
28,,,,,,10,
29,,,,,,,0
30,,,,,,,3
31,,,,,,,5
