DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id
"Promotor do evento : IEEE","",25,,,,,,,,,,,,
"ICSE 2002 (24th ACM International Conference on Software Engineering)","",38,,,,,,,,,,,,
"Proceedings of the First Latin-American Symposium on Dependable Computing, patrocinado pela IFIP e IEEE. October 21-24, 2003, São Paulo, SP, Brazil.

Fernando e Paulo são alunos de doutorado.","",39,,,,,,,,,,,,
"July, 2003.","",40,,,,,,,,,,,,
"May 3-10, 2003","",41,,,,,,,,,,,,
"October 6-10,2003","",42,,,,,,,,,,,,
"(to appear) September 1-5, 2003","",43,,,,,,,,,,,,
"May 14-16, 2003","",44,,,,,,,,,,,,
"(to appear) September 22-25,2003, Casa Grande Hotel, Guarujá, São Paulo, Brazil.","",45,,,,,,,,,,,,
"31 August- 3 September,2004","",47,,,,,,,,,,,,
"May 15-21,2005

Mês de publicação: maio

grupo/linha de pesquisa: sistemas de informação/engenharia de software.

se tem vínculo com tese de aluno:
 - nível: doutorado
 - concluída: não
 - vinculada à tese de doutorado do IC-UNICAMP a ser concluída em 2006.","",51,,,,,,,,,,,,
"Mês da publicação: julho

grupo/linha de pesquisa: sistemas de informação/engenharia de software

se tem vínculo à tese de aluno:
 - nível: doutorado
 - concluída: não
 - vinculada à tese de doutorado do IC-UNICAMP a ser concluída em 2006.","",52,,,,,,,,,,,,
"Mês da publicação: julho/2005

grupo/linha de pesquisa: sistemas de informação/engenharia de software

se tem vínculo a tese de aluno:
 - nível: doutorado
 - concluída: não
 - vinculada à tese de doutorado do IC-UNICAMP a ser concluída em 2006.","",53,,,,,,,,,,,,
"Mês da publicação: julho

grupo/linha de pesquisa: sistemas de informação/engenharia de software

se tem vínculo com tese de aluno:
 - nível: doutorado
 - concluída: não
 - vinculada à tese de doutorado do IC-UNICAMP a ser concluída em 2008.","",54,,,,,,,,,,,,
"Lecture Notes on Computer Science.

Mês de publicação: outubro

grupo/linha de pesquisa: sistemas de informação/engenharia de software

se tem vínculo com tese de aluno:
 - nível: mestrado
 - concluída: sim, ano 2005.
 - vinculada à dissertação de mestrado acadêmico do IC-UNICAMP concluída em 2005.","",55,,,,,,,,,,,,
"# O mês da publicação:April
# O Grupo/Linha de Pesquisa: sistemas de informação: engenharia de software e sistemas de computação: sistemas tolerantes a falhas
# Se tem vínculo com tese de aluno: sim
  * Nível:   [ ] Mestrado  [ X ] Doutorado
  * Concluída: [ ] Não    [ X ] Sim -----> Ano de defesa: 2006
  * "Vinculado a tese de doutorado do IC-UNICAMP e concluída em 2006." 

# Diga qual a qualificação do artigo: CIA","",56,,,,,,,,,,,,
"7-9 de novembro de 2005.

Mês de publicação: novembro.

grupo/linha de pesquisa: sistemas de informação/engenharia de software.

se tem vínculo com tese de aluno:
 - nível: mestrado
 - concluída: não
 - vinculada à dissertação de mestrado acadêmico do IC-UNICAMP a ser concluída em 2006.","",57,,,,,,,,,,,,
"Mês da publicação: novembro

grupo/linha de pesquisa: sistemas de informação/engenharia de software

se tem vincula a tese de aluno:
 - nível: mestrado
 - concluída: não
 - vinculada à dissertação de mestrado acadêmico do IC-UNICAMP a ser concluída em 2006.","",58,,,,,,,,,,,,
"11th  International  Workshop  on
Component-Oriented Programming, Monday, July 3, 2006 at 20th European
Conference on Object-Oriented Programming (ECOOP 2006), Nantes, France
(July 3-7, 2006)

# O mês da publicação:July
# O Grupo/Linha de Pesquisa: sistemas de informação: engenharia de software e sistemas de computação
# Se tem vínculo com tese de aluno: sim
  * Nível:   [X ] Mestrado  [ ] Doutorado
  * Concluída: [X ] Não    [ ] Sim 
  * "Vinculado a dissertação de mestrado do IC-UNICAMP em andamento.." 

# Diga qual a qualificação do artigo: ?","",59,,,,,,,,,,,,
"# O mês da publicação: November
# O Grupo/Linha de Pesquisa: sistemas de informação: engenharia de software e sistemas de computação: sistemas tolerantes a falhas
# Se tem vínculo com tese de aluno: sim
  * Nível:   [ ] Mestrado  [ X ] Doutorado
  * Concluída: [ ] Não    [ X ] Sim -----> Ano de defesa: 2006
  * "Vinculado a tese de doutorado do IC-UNICAMP e concluída em 2006." 

# Diga qual a qualificação do artigo: Qualis CIA","",60,,,,,,,,,,,,
"# O mês da publicação: Dezembro
# O Grupo/Linha de Pesquisa: sistemas de informação: engenharia de software 
# Se tem vínculo com tese de aluno: sim
  * Nível:   [ ] Mestrado  [ X ] Doutorado
  * Concluída: [ X ] Não    [ ] Sim 
  * "Vinculado a tese de doutorado do IC-UNICAMP em andamento." 

# Diga qual a qualificação do artigo: CNB","",61,,,,,,,,,,,,
"# mês da publicação: março
# O Grupo/Linha de Pesquisa: 
Sistemas de Computação (Sistemas Tolerantes a Falhas) e Sistemas de
Informação (Engenharia de Software)
# Se tem vínculo com tese de aluno:
  * Nível:   [ ] Mestrado  [ X] Doutorado
  * Concluída: [ ] Não    [ X] Sim-----> Ano de defesa: 2006
  * Trabalho vinculado à tese de doutorado do IC-UNICAMP concluída em 2006.","",62,,,,,,,,,,,,
"# mês da publicação: maio
# O Grupo/Linha de Pesquisa: 
Sistemas de Computação (Sistemas Tolerantes a Falhas) e Sistemas de
Informação (Engenharia de Software)
# Se tem vínculo com tese de aluno:
  * Nível:   [ ] Mestrado  [ X] Doutorado
  * Concluída: [ ] Não    [ X ] Sim -----> Ano de defesa: 2006
  * Trabalho vinculado à tese de doutorado do IC-UNICAMP e concluída em 2006.","",63,,,,,,,,,,,,
"# mês da publicação: junho
# O Grupo/Linha de Pesquisa: 
Sistemas de Computação (Sistemas Tolerantes a Falhas) e Sistemas de
Informação (Engenharia de Software)
# Se tem vínculo com tese de aluno:
  * Nível:   [ ] Mestrado  [ X] Doutorado
  * Concluída: [ X] Não    [ ] Sim-----> Ano de defesa:","",64,,,,,,,,,,,,
"WTF 2007 foi realizado junto com 25o. Simpósio Brasileiro de Redes de Computadores (SBRC 2007)

# mês da publicação: maio
# O Grupo/Linha de Pesquisa: 
Sistemas de Computação (Sistemas Tolerantes a Falhas) e Sistemas de Informação (Engenharia de Software)
# Se tem vínculo com tese de aluno:
  * Nível:   [ ] Mestrado  [ X] Doutorado
  * Concluída: [ X] Não    [ ] Sim-----> Ano de defesa:","",65,,,,,,,,,,,,
"Proceedings de Conferência publicada como Lecture Notes on Computer Science
# mês da publicação: outubro
# O Grupo/Linha de Pesquisa: Sistemas de Computação (Sistemas Tolerantes a Falhas) e Sistemas de Informação (Engenharia de Software)
# Se tem vínculo com tese de aluno:
  * Nível:   [ ] Mestrado  [ X] Doutorado
  * Concluída: [ X] Não    [ ] Sim-----> Ano de defesa:","",66,,,,,,,,,,,,
"WMSWM 2007 realizado em conjunto com VI Simpósio Brasileiro de Qualidade de Software (SBQS 2007)
# mês da publicação: junho
# O Grupo/Linha de Pesquisa: 
Sistemas de Computação (Sistemas Tolerantes a Falhas) e Sistemas de Informação (Engenharia de Software)
# Se tem vínculo com tese de aluno:
  * Nível:   [ X] Mestrado  [ ] Doutorado
  * Concluída: [ ] Não    [X ] Sim-----> Ano de defesa: 2007
  * Trabalho de dissertação de mestrado vinculada ao IC-UNICAMP e concluída em 2007.","",67,,,,,,,,,,,,
"# mês da publicação: outubro
# O Grupo/Linha de Pesquisa: 
Sistemas de Computação (Sistemas Tolerantes a Falhas) e Sistemas de Informação (Engenharia de Software)
# Se tem vínculo com tese de aluno:
  * Nível:   [ ] Mestrado  [ X] Doutorado
  * Concluída: [ X] Não    [ ] Sim-----> Ano de defesa: 2006
  * Trabalho vinculado à tese de doutorado do IC-UNICAMP e concluída em 2006.","",68,,,,,,,,,,,,
"December 3-5,2008","",69,,,,,,,,,,,,
"Paphos, Cyprus, September 29-October 01, 2008, 
R. Morrison, D. Balasubramaniam, and K. E. Falkner (editors), Lecture  Notes in Computer Science (LNCS),","",70,,,,,,,,,,,,
"38th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN 2008), June 24-27, 2008","",72,,,,,,,,,,,,
"co-located  with  16th International Symposium on the Foundations of Software Engineering (FSE 16), Atlanta, GA, USA, 14 November 2008, ACM Press.","",73,,,,,,,,,,,,
"September 14-17, Cambridge, UK.","",74,,,,,,,,,,,,
"September 1-4, 2009","",75,,,,,,,,,,,,
"January 27?29, 2010 at the Johannes Kepler University, Linz, Austria
ISSN 1860-2770 (Print)
ISSN 1866-5101 (Online)","",76,,,,,,,,,,,,
"ECBS-LARC December 14th, 2009
PUC-Rio, Rio de Janeiro, Brazil

Proceedings of the
2010 17th IEEE International Conference and Workshops on Engineering of Computer-Based Systems (ECBS 2010)
to be held 22-26 March 2010 in Oxford, England","",77,,,,,,,,,,,,
"Meeting Date: 12 Jun 1994 - 14 Jun 1994
Location: College Station, TX , USA
Print ISBN: 0-8186-6807-5","",78,,,,,,,,,,,,
"April 25-29, 2011, São José dos Campos, SP,Brazil.","",79,,,,,,,,,,,,
"April 25-29, 2011, São José dos Campos, SP,Brazil","",80,,,,,,,,,,,,
"29/6/2011, Fortaleza-CE","",82,,,,,,,,,,,,
"13-16 September 2011, Essen, Germany.","",83,,,,,,,,,,,,
"May 14-15, 2012, Ciudad Real, Spain","",84,,,,,,,,,,,,
"25-29 April 2011, Sao Jose does Campos, São Paulo, Brazil","",85,,,,,,,,,,,,
"co-located with XXXII Congresso
da Sociedade Brasileira de Computa¸c?ao (CSBC 2012), 17-18 julho, 2012, Curitiba,PR.","",87,,,,,,,,,,,,
"Date of Conference: 5-8 Sept. 2012
Conference Location : Cesme, Izmir","",88,,,,,,,,,,,,
"August 20-August 24
http://doi.ieeecomputersociety.org/10.1109/ARES.2012.57","",89,,,,,,,,,,,,
"9-11 January 2014 Miami, Florida USA
DOI 10.1109/HASE.2014.15","",95,,,,,,,,,,,,
"9-13 September 2013, poster e resumo estendido.","",96,,,,,,,,,,,,
"","VAQUITA 2015
Workshop on Variability for Qualities in Software Architecture,
9th European Conference on Software Architecture (ECSA 2015)
September 7 - 11, 2015
Dubrovnik/Cavtat, Croatia",98,,,,,,,,,,,,
"Mês da publicação: Abril

Grupo/Linha de pesquisa: sistemas de informação/engenharia de software

Se tem vínculo com tese de aluno:
 - Nível: [X] Mestrado [X] Doutorado
 - Concluida: [X] Não
 - vinculada à dissertação de mestrado profissional do IC-UNICAMP concluída em 2004.
 - vinculada à tese de doutorado do IC-UNICAMP a ser concluída em 2006.","",,3,,,,,,,,,,,
"February 2011, Elsevier","",,16,,,,,,,,,,,
"grupo/linha de pesquisa: sistemas de informação/engenharia de software.

se tem vínculo com tese de aluno:
 - nivel: doutorado
 - concluída: sim
 - vinculada à tese de doutorado do IC-UNICAMP, concluída em 2004.","",,,4,,,,,,,,,,
"Mês da publicação: abril

grupo/linha de pesquisa: sistemas de informações/engenharia de software

se tem vínculo com tese de aluno:
 - nível: doutorado
 - concluída: sim, 2004
 - vinulada à tese de doutorado do IC-UNICAMP, concluída em 2004.","",,,5,,,,,,,,,,
"# O mês da publicação:March/April
# O Grupo/Linha de Pesquisa: sistemas de informação: engenharia de software e sistemas de computação: sistemas tolerantes a falhas
# Se tem vínculo com tese de aluno: sim
  * Nível:   [ ] Mestrado  [ X ] Doutorado
  * Concluída: [ ] Não    [ X ] Sim -----> Ano de defesa: 2006
  * "Vinculado a tese de doutorado do IC-UNICAMP e concluída em 2006." 

# Diga qual a qualificação do artigo: essa publicação é realmente um capítulo de livro, onde foi feita uma chamda para participação e avaliações posteriores.","",,,6,,,,,,,,,,
