NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","1396497553199632",0,,,,,
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","1396497553199632",1,,,,,
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","1396497553199632",2,,,,,
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","1396497553199632",3,,,,,
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","1396497553199632",4,,,,,
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","1396497553199632",5,,,,,
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","1396497553199632",6,,,,,
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","1396497553199632",7,,,,,
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","1396497553199632",8,,,,,
"Cecília Mary Fischer Rubira","RUBIRA, C. M. F.;Rubira, Cecília M. F.;Rubira, Cecília Mary F.;RUBIRA, CECILIA M. F.;RUBIRA, CECILIA M.F.;RUBIRA, C.M.F.;Rubira, Cecília M. F;Rubira, Cecília M.F;RUBIRA, C.M.F;Cecília Mary Fischer Rubira;Cecilia Mary Fischer Rubira;C. Rubira;C.M.F. Rubira;C.M.F. RUBIRA;C RUBIRA;CMF RUBIRA;C. RUBIRA-CALSAVARA;CMF RUBIRA-CALSAVARA;Cecília M. F RUBIRA;Cecília M. F. RUBIRA;Cecília M. F. Rubira;Cecília M. F Rubira;RUBIRA, CEC''LIA M.F;RUBIRA, CECILIA MARY FISCHER;RUBIRA, CECÍLIA MF;RUBIRA, CECÍLIA;RUBIRA, CECILIA MARY FISHER;RUBIRA,CECÍLIA M.;RUBIRA, CECÍLIA M.","1","1396497553199632",9,,,,,
