SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Informática","","",0,,,,
"Informática","","",,0,,,
"Informática","","",,,0,,
"Informática","","",,,1,,
"Informática","","",,,7,,
"Informática","","",,,25,,
"Informática","","",,,28,,
"Informática","","",,,29,,
"Informática","","",,,30,,
"Informática","","",,,31,,
"Informática","","",,,32,,
"Informática","","",,,,2,
"Informática","","",,,,,3
"Informática","","",,,,,4
"Informática","","",,,,,5
"Informática","","",,,,,6
"Informática","","",,,,,7
