AREAS-DO-CONHECIMENTO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,OUTRA-PRODUCAO-TECNICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
0,0,,,,,,,,,,,,,,,,,,,,,
1,,0,,,,,,,,,,,,,,,,,,,,
2,,,0,,,,,,,,,,,,,,,,,,,
3,,,,0,,,,,,,,,,,,,,,,,,
4,,,,1,,,,,,,,,,,,,,,,,,
5,,,,2,,,,,,,,,,,,,,,,,,
6,,,,3,,,,,,,,,,,,,,,,,,
7,,,,4,,,,,,,,,,,,,,,,,,
8,,,,5,,,,,,,,,,,,,,,,,,
9,,,,6,,,,,,,,,,,,,,,,,,
10,,,,7,,,,,,,,,,,,,,,,,,
11,,,,8,,,,,,,,,,,,,,,,,,
12,,,,9,,,,,,,,,,,,,,,,,,
13,,,,10,,,,,,,,,,,,,,,,,,
14,,,,12,,,,,,,,,,,,,,,,,,
15,,,,16,,,,,,,,,,,,,,,,,,
16,,,,17,,,,,,,,,,,,,,,,,,
17,,,,18,,,,,,,,,,,,,,,,,,
18,,,,20,,,,,,,,,,,,,,,,,,
19,,,,21,,,,,,,,,,,,,,,,,,
20,,,,25,,,,,,,,,,,,,,,,,,
21,,,,26,,,,,,,,,,,,,,,,,,
22,,,,27,,,,,,,,,,,,,,,,,,
23,,,,31,,,,,,,,,,,,,,,,,,
24,,,,32,,,,,,,,,,,,,,,,,,
25,,,,,0,,,,,,,,,,,,,,,,,
26,,,,,1,,,,,,,,,,,,,,,,,
27,,,,,3,,,,,,,,,,,,,,,,,
28,,,,,4,,,,,,,,,,,,,,,,,
29,,,,,6,,,,,,,,,,,,,,,,,
30,,,,,9,,,,,,,,,,,,,,,,,
31,,,,,,0,,,,,,,,,,,,,,,,
32,,,,,,,1,,,,,,,,,,,,,,,
33,,,,,,,,0,,,,,,,,,,,,,,
34,,,,,,,,,2,,,,,,,,,,,,,
35,,,,,,,,,,0,,,,,,,,,,,,
36,,,,,,,,,,1,,,,,,,,,,,,
37,,,,,,,,,,,10,,,,,,,,,,,
38,,,,,,,,,,,,0,,,,,,,,,,
39,,,,,,,,,,,,1,,,,,,,,,,
40,,,,,,,,,,,,4,,,,,,,,,,
41,,,,,,,,,,,,6,,,,,,,,,,
42,,,,,,,,,,,,7,,,,,,,,,,
43,,,,,,,,,,,,8,,,,,,,,,,
44,,,,,,,,,,,,9,,,,,,,,,,
45,,,,,,,,,,,,,1,,,,,,,,,
46,,,,,,,,,,,,,,0,,,,,,,,
47,,,,,,,,,,,,,,1,,,,,,,,
48,,,,,,,,,,,,,,2,,,,,,,,
49,,,,,,,,,,,,,,3,,,,,,,,
50,,,,,,,,,,,,,,4,,,,,,,,
51,,,,,,,,,,,,,,,0,,,,,,,
52,,,,,,,,,,,,,,,1,,,,,,,
53,,,,,,,,,,,,,,,2,,,,,,,
54,,,,,,,,,,,,,,,3,,,,,,,
55,,,,,,,,,,,,,,,6,,,,,,,
56,,,,,,,,,,,,,,,7,,,,,,,
57,,,,,,,,,,,,,,,8,,,,,,,
58,,,,,,,,,,,,,,,9,,,,,,,
59,,,,,,,,,,,,,,,12,,,,,,,
60,,,,,,,,,,,,,,,,0,,,,,,
61,,,,,,,,,,,,,,,,1,,,,,,
62,,,,,,,,,,,,,,,,3,,,,,,
63,,,,,,,,,,,,,,,,4,,,,,,
64,,,,,,,,,,,,,,,,5,,,,,,
65,,,,,,,,,,,,,,,,,0,,,,,
66,,,,,,,,,,,,,,,,,1,,,,,
67,,,,,,,,,,,,,,,,,,2,,,,
68,,,,,,,,,,,,,,,,,,,1,,,
69,,,,,,,,,,,,,,,,,,,3,,,
70,,,,,,,,,,,,,,,,,,,4,,,
71,,,,,,,,,,,,,,,,,,,5,,,
72,,,,,,,,,,,,,,,,,,,8,,,
73,,,,,,,,,,,,,,,,,,,,0,,
74,,,,,,,,,,,,,,,,,,,,1,,
75,,,,,,,,,,,,,,,,,,,,,0,
76,,,,,,,,,,,,,,,,,,,,,,3
