DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,SOFTWARE_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"Mês: Outubro de 2005
Grupo: Sistemas de Computação
Trabalho vinculado ao aluno de doutorado Alexandro Baldassin (orientado pelo prof. Paulo Centoducatte)","",7,,,
"Participação de aluno de doutorado: Alexandro Baldassin
Qualis CIA
Mes: Maio
Grupo: Sistemas de Computação","",9,,,
"Participação de aluno de mestrado: Fernando Kronbauer
Participação de aluno de doutorado: Alexandro Baldassin
Participação de aluno de mestrado: Bruno Albertini
Qualis CIA
Mes: Maio
Grupo: Sistemas de Computação","",10,,,
"Participação de aluno de doutorado: Bruno Albertini
Mês: Outubro
Grupo: Sistemas de Computaçaõ
Qualis: CIA","",11,,,
"Publicação com aluno de doutorado Leonardo de Paula da Rosa Piga","",12,,,
"Publicação com aluno de doutorado Bruno de Carvalho Albertini","",13,,,
"Publicação com aluno de mestrado Fernando André Kronbauer","",15,,,
"Participação discente: Joao Moreira","",16,,,
"Participação discente: Garcia","",17,,,
"Participação discente: Albertini","",18,,,
"Participação discente (graduação): kist e Baggio","",19,,,
"Participação discente: Nicacio e Wattrot","",21,,,
"Participação discente: joão Moreira","",22,,,
"Participação discente: Piga","",23,,,
"PArticipação discente: Piga","",24,,,
"Participação discente: Raphael Zinsly","",26,,,
"Participação discente: Maxiwell

Premio de melhor artigo","",27,,,
"Participação discente:
Leonardo Piga, Gabriel Gomes","",28,,,
"Participação discente: Divino César Lucas, Rafael Auler, Rafael Dalibera","",29,,,
"Participação discente: João Moreira","",30,,,
"Participação discente: João Moreira
Prêmio George Cox de Melhor Artigo Completo","",31,,,
"Participação de aluno de mestrado: Richard Maciel
Participação de aluno de mestrado: Bruno Albertini
Qualis CIA
Mes: Maio
Grupo: Sistemas de Computação","",32,,,
"PIB","",,1,,
"PArticipação de aluno de doutorado: Alexandro Baldassin","",,2,,
"Participação discente: Leonardo Piga
http://www.sciencedirect.com/science/article/pii/S2210537912000480","",,3,,
"Participação discente: Bruno Albertini
http://link.springer.com/article/10.1007%2Fs10617-011-9082-6","",,4,,
"Participação discente: Leonardo Piga","",,5,,
"Participação discente: Leonardo Piga","",,6,,
"Participação discente: Maxiwell Garcia","",,8,,
"Mês: Outubro 2005
Grupo/Linha de Pesquisa: Ssitemas de Computação
Vínculo:
  /o autor Marcus Bartholomeu era aluno de doutorado do prof. Rodolfo. Tese defendida em Novembro de 2005","",,9,,
"Este software esta disponível sob licenca GPL na internet","",,,0,
"Fui tutor deste aluno durante a sua participação no Programa de Intercâmbio da IATESTE, vindo da Universitat Politèctica de Catalunya - Espanha.","",,,,0
