PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,OUTRA-PRODUCAO-TECNICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Arquitetura de Computadores","Projeto em Nível de Sistema","Linguagem de descrição","Sistemas embutidos de computador","","",0,,,,,,,,,,,,,,,,,,,,
"Compiladores e Linguagens de Programação","","","","","",,0,,,,,,,,,,,,,,,,,,,
"Address Register Allocation","Embedded Programs","Compiler","","","",,,1,,,,,,,,,,,,,,,,,,
"Architecture Description Language","Memory Hierarchy","System Level Design","","","",,,2,,,,,,,,,,,,,,,,,,
"Memory Hierarchy","Architecture Description Language","System Level Design","","","",,,3,,,,,,,,,,,,,,,,,,
"Architecture Description Language","Education","Computer Architecture","","","",,,4,,,,,,,,,,,,,,,,,,
"Architecture Description Language","Arquitetura de Computadores","Projeto em Nível de Sistema","Sistemas embutidos de computador","","",,,5,,,,,,,,,,,,,,,,,,
"Architecture Description Language","Arquitetura de Computadores","Simulação compilada","Projeto em Nível de Sistema","Sistemas embutidos de computador","",,,6,,,,,,,,,,,,,,,,,,
"Linguagem de Descrição de Arquiteturas","Arquitetura de Computadores","Montadores e Linguagem de Montagem","","","",,,7,,,,,,,,,,,,,,,,,,
"Arquitetura de Computadores","Educação","Projeto de Sistemas Computacionais","","","",,,8,,,,,,,,,,,,,,,,,,
"Embedded Systems","Architecture Description Language","Binary Utilities","","","",,,9,,,,,,,,,,,,,,,,,,
"Computer Architecture","Multiprocessor","Platform Design","Transactional Memory","Simulation","",,,10,,,,,,,,,,,,,,,,,,
"Computer Architecture","Embedded Systems","System-level Design","SystemC","","",,,12,,,,,,,,,,,,,,,,,,
"Verification","","","","","",,,13,,,,,,,,,,,,,,,,,,
"Compiler","Real time","","","","",,,14,,,,,,,,,,,,,,,,,,
"Memória Transacional","Gerenciamento de Contenção","Arquiteturas Paralelas","","","",,,15,,,,,,,,,,,,,,,,,,
"Arquitetura de Computadores","Memória Transacional","Consumo de Energia","","","",,,16,,,,,,,,,,,,,,,,,,
"Arquitetura de Computadores","Compiladores e Linguagens de Programação","Linguagem de Descrição de Arquiteturas","Simulação compilada","Projeto em Nível de Sistema","",,,17,,,,,,,,,,,,,,,,,,
"Projeto em Nível de Sistema","Platform Design","SystemC","Linguagem de Descrição de Arquiteturas","","",,,18,,,,,,,,,,,,,,,,,,
"Clusters","Computação de Alto Desempenho","","","","",,,19,,,,,,,,,,,,,,,,,,
"Architecture Description Language","Binary Utilities","Verification","Electronic System Level","Debugging","",,,20,,,,,,,,,,,,,,,,,,
"Code Optimization","Register Allocation","","","","",,,21,,,,,,,,,,,,,,,,,,
"Computer Architecture","Hardware Simulation","Platform Design","Power Consumption","","",,,22,,,,,,,,,,,,,,,,,,
"Datacenters","Power Consumption","Simulation","Computer Architecture","","",,,23,,,,,,,,,,,,,,,,,,
"Power Consumption","Datacenters","Computer Architecture","","","",,,24,,,,,,,,,,,,,,,,,,
"Binary Instrumentation","Dynamic Compilarion","Security","Program Flow","","",,,25,,,,,,,,,,,,,,,,,,
"Traces","Compressão","Arquitetura de Computadores","Avaliação de Desempenho","","",,,26,,,,,,,,,,,,,,,,,,
"Simulação compilada","Architecture Description Language","Compiled Simulation","ArchC","Simulação de Plataformas","",,,27,,,,,,,,,,,,,,,,,,
"Security","Virtual Machine","Dynamic Binary Translation","Control Flow Integrity","","",,,30,,,,,,,,,,,,,,,,,,
"Segurança","Sistemas Operacionais","Compiladores","","","",,,31,,,,,,,,,,,,,,,,,,
"Computer Architecture","Platform Design","SystemC","VHDL","System-level Design","Hardware Simulation",,,32,,,,,,,,,,,,,,,,,,
"Compiler","DSP","Retargetable","","","",,,,0,,,,,,,,,,,,,,,,,
"Projeto em Nível de Sistema","Platform Design","Projeto de Sistemas Computacionais","Simulação de Plataformas","SystemC","",,,,1,,,,,,,,,,,,,,,,,
"Arquitetura de Computadores","Computer Architecture","Binary Utilities","","","",,,,2,,,,,,,,,,,,,,,,,
"Datacenters","Power optimization","Performance management","Simulation","","",,,,3,,,,,,,,,,,,,,,,,
