NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",0,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",1,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",2,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",3,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",4,,
"Guido Araújo","ARAÚJO, Guido","3","8683914780987242",4,,
"Pablo Viana da Silva","SILVA, P. V.","4","0217522010967626",4,,
"Edna Barros","BARROS, Edna","5","6291354144339437",4,,
"Rodolfo Jardim de Azevedo","AZEVEDO, Rodolfo Jardim de","2","2046981671187343",4,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",5,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",6,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",7,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",8,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",9,,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,0,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,1,
"Sandro Rigo","RIGO, S.;Rigo, Sandro","1","8308517667746974",,,0
"Paulo Cesar Centoducatte","CENTODUCATTE, Paulo Cesar","2","0758877444698557",,,0
