AREAS-DO-CONHECIMENTO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
0,0,,,,,,,,,,,,,,,
1,,0,,,,,,,,,,,,,,
2,,,0,,,,,,,,,,,,,
3,,,,0,,,,,,,,,,,,
4,,,,1,,,,,,,,,,,,
5,,,,2,,,,,,,,,,,,
6,,,,3,,,,,,,,,,,,
7,,,,4,,,,,,,,,,,,
8,,,,5,,,,,,,,,,,,
9,,,,6,,,,,,,,,,,,
10,,,,7,,,,,,,,,,,,
11,,,,8,,,,,,,,,,,,
12,,,,9,,,,,,,,,,,,
13,,,,10,,,,,,,,,,,,
14,,,,15,,,,,,,,,,,,
15,,,,16,,,,,,,,,,,,
16,,,,17,,,,,,,,,,,,
17,,,,18,,,,,,,,,,,,
18,,,,19,,,,,,,,,,,,
19,,,,20,,,,,,,,,,,,
20,,,,21,,,,,,,,,,,,
21,,,,22,,,,,,,,,,,,
22,,,,23,,,,,,,,,,,,
23,,,,24,,,,,,,,,,,,
24,,,,25,,,,,,,,,,,,
25,,,,26,,,,,,,,,,,,
26,,,,27,,,,,,,,,,,,
27,,,,28,,,,,,,,,,,,
28,,,,29,,,,,,,,,,,,
29,,,,30,,,,,,,,,,,,
30,,,,31,,,,,,,,,,,,
31,,,,32,,,,,,,,,,,,
32,,,,33,,,,,,,,,,,,
33,,,,34,,,,,,,,,,,,
34,,,,35,,,,,,,,,,,,
35,,,,36,,,,,,,,,,,,
36,,,,37,,,,,,,,,,,,
37,,,,38,,,,,,,,,,,,
38,,,,39,,,,,,,,,,,,
39,,,,40,,,,,,,,,,,,
40,,,,41,,,,,,,,,,,,
41,,,,42,,,,,,,,,,,,
42,,,,43,,,,,,,,,,,,
43,,,,44,,,,,,,,,,,,
44,,,,45,,,,,,,,,,,,
45,,,,46,,,,,,,,,,,,
46,,,,47,,,,,,,,,,,,
47,,,,49,,,,,,,,,,,,
48,,,,50,,,,,,,,,,,,
49,,,,51,,,,,,,,,,,,
50,,,,52,,,,,,,,,,,,
51,,,,53,,,,,,,,,,,,
52,,,,54,,,,,,,,,,,,
53,,,,55,,,,,,,,,,,,
54,,,,56,,,,,,,,,,,,
55,,,,57,,,,,,,,,,,,
56,,,,58,,,,,,,,,,,,
57,,,,59,,,,,,,,,,,,
58,,,,62,,,,,,,,,,,,
59,,,,63,,,,,,,,,,,,
60,,,,64,,,,,,,,,,,,
61,,,,65,,,,,,,,,,,,
62,,,,,0,,,,,,,,,,,
63,,,,,1,,,,,,,,,,,
64,,,,,2,,,,,,,,,,,
65,,,,,3,,,,,,,,,,,
66,,,,,4,,,,,,,,,,,
67,,,,,5,,,,,,,,,,,
68,,,,,6,,,,,,,,,,,
69,,,,,7,,,,,,,,,,,
70,,,,,8,,,,,,,,,,,
71,,,,,9,,,,,,,,,,,
72,,,,,10,,,,,,,,,,,
73,,,,,11,,,,,,,,,,,
74,,,,,12,,,,,,,,,,,
75,,,,,13,,,,,,,,,,,
76,,,,,14,,,,,,,,,,,
77,,,,,15,,,,,,,,,,,
78,,,,,16,,,,,,,,,,,
79,,,,,17,,,,,,,,,,,
80,,,,,18,,,,,,,,,,,
81,,,,,19,,,,,,,,,,,
82,,,,,20,,,,,,,,,,,
83,,,,,21,,,,,,,,,,,
84,,,,,22,,,,,,,,,,,
85,,,,,23,,,,,,,,,,,
86,,,,,24,,,,,,,,,,,
87,,,,,25,,,,,,,,,,,
