NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","1789677069372972",0,,,
"João Meidanis","MEIDANIS, J.","2","1313385414995585",0,,,
"João Meidanis","MEIDANIS, J.","1","1313385414995585",1,,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","2","0216229039021964",1,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",1,,,
"João Meidanis","MEIDANIS, J.","1","1313385414995585",2,,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","2","0216229039021964",2,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",2,,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","1","0216229039021964",3,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",3,,,
"João Meidanis","MEIDANIS, J.","3","1313385414995585",3,,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","1","0216229039021964",4,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",4,,,
"João Meidanis","MEIDANIS, J.","3","1313385414995585",4,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","1789677069372972",5,,,
"João Meidanis","MEIDANIS, J.","2","1313385414995585",5,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","1789677069372972",6,,,
"João Meidanis","MEIDANIS, J.","2","1313385414995585",6,,,
"Miguel Galves","GALVES, M.","1","3614514304945823",7,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",7,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",8,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",8,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",9,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",9,,,
"Miguel Galves","GALVES, M.","1","3614514304945823",10,,,
"José A. A. Quitzau","QUITZAU, J. A. A.","2","",10,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",10,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",11,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",11,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",12,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",12,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",13,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",13,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","1","1789677069372972",14,,,
"Cid Carvalho de Souza","SOUZA, C. C.","2","",14,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",15,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",15,,,
"André Atanasio Maranhão Almeida","ALMEIDA, A. A. M.","1","0292740764507528",16,,,
"Miguel Galves","GALVES, M.","2","3614514304945823",16,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",16,,,
"Cleber Mira","MIRA, C.","1","3200716627366267",17,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",17,,,
"Hederson Santos","SANTOS, H.","3","",17,,,
"Guilherme Albuquerque Pinto","PINTO, G. A.","4","6879310192978242",17,,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","5","0216229039021964",17,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",18,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",18,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",19,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",19,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",20,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",20,,,
"Felipe R. da Silva","SILVA, F. R.","1","5098407619682182",21,,,
"Maria Angélica de Souza","Souza, M. A.","2","",21,,,
"André Atanasio Maranhão Almeida","ALMEIDA, A. A. M.","3","0292740764507528",21,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","4","1789677069372972",21,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",22,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",22,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",23,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",23,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",24,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",24,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",25,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",25,,,
"André Atanasio Maranhão Almeida","ALMEIDA, A. A. M.","1","0292740764507528",26,,,
"Maria Angélica de Souza","Souza, M. A.","2","",26,,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",26,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",27,,,
"Zanoni Dias","DIAS, Z.","2","",27,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",28,,,
"Zanoni Dias","DIAS, Z.","2","",28,,,
"João Carlos Setubal","SETUBAL, J. C.","3","0527652166877006",28,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",29,,,
"Zanoni Dias","DIAS, Z.","2","",29,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",30,,,
"Lemaitre, C.","Lemaitre, C.","2","",30,,,
"Zanoni Dias","DIAS, Z.","3","",30,,,
"Gautier, C.","Gautier, C.","4","",30,,,
"Tannier, E.","Tannier, E.","5","",30,,,
"Sagot, M.-F.","Sagot, M.-F.","6","1077184162483679",30,,,
"Zanoni Dias","Dias, Z.","1","",31,,,
"Anderson Rocha","ROCHA, A.","2","1521815731111261",31,,,
"Siome Goldenstein","Goldenstein, S.","3","3575273076267374",31,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",32,,,
"Zanoni Dias","DIAS, Z.","2","",32,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",33,,,
"Zanoni Dias","Dias, Z.","2","",33,,,
"Zanoni Dias","DIAS, Z.","1","",34,,,
"Ulisses Martins Dias","DIAS, U.","2","4926594438458702",34,,,
"João Carlos Setubal","SETUBAL, J. C.","3","0527652166877006",34,,,
"Victor de Abreu Iizuka","Iizuka, V. A.","1","6081587830298434",35,,,
"Zanoni Dias","Dias, Z.","2","",35,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",36,,,
"Zanoni Dias","DIAS, Z.","2","",36,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",37,,,
"Zanoni Dias","DIAS, Z.","2","",37,,,
"Sergio J. R. Ordine","ORDINE, S. J. R.","1","",38,,,
"Alex B. Grilo","GRILO, A. B.","2","",38,,,
"André Atanasio Maranhão Almeida","ALMEIDA, A. A. M.","3","0292740764507528",38,,,
"Zanoni Dias","DIAS, Z.","4","",38,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",39,,,
"Zanoni Dias","DIAS, Z.","2","",39,,,
"João Carlos Setubal","SETUBAL, J. C.","3","0527652166877006",39,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",40,,,
"Zanoni Dias","DIAS, Z.","2","",40,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",41,,,
"Zanoni Dias","DIAS, Z.","2","",41,,,
"João Carlos Setubal","SETUBAL, J. C.","3","0527652166877006",41,,,
"Zanoni Dias","Dias, Z.","1","",42,,,
"Anderson Rocha","ROCHA, A.","2","1521815731111261",42,,,
"Siome Goldenstein","Goldenstein, S.","3","3575273076267374",42,,,
"André Atanasio Maranhão Almeida","ALMEIDA, A. A. M.","1","0292740764507528",43,,,
"Zanoni Dias","Dias, Z.","2","",43,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",44,,,
"Zanoni Dias","Dias, Z.","2","",44,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",45,,,
"Zanoni Dias","DIAS, Z.","2","",45,,,
"Zanoni Dias","DIAS, Z.","1","",46,,,
"Ulisses Martins Dias","DIAS, U.","2","4926594438458702",46,,,
"LENWOOD SCOTT HEATH","HEATH, L. S.","3","",46,,,
"João Carlos Setubal","SETUBAL, J. C.","4","0527652166877006",46,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",47,,,
"Zanoni Dias","Dias, Z.","2","",47,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",48,,,
"Zanoni Dias","Dias, Z.","2","",48,,,
"Sergio J. R. Ordine","ORDINE, S. J. R.","1","",49,,,
"André Atanasio Maranhão Almeida","ALMEIDA, A. A. M.","2","0292740764507528",49,,,
"Zanoni Dias","Dias, Z.","3","",49,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",50,,,
"Zanoni Dias","DIAS, Z.","2","",50,,,
"Thiago da Silva Arruda","Arruda, T. S.","1","4408949874393794",51,,,
"Ulisses Martins Dias","DIAS, U.","2","4926594438458702",51,,,
"Zanoni Dias","Dias, Z.","3","",51,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",52,,,
"Zanoni Dias","Dias, Z.","2","",52,,,
"Carla Negri Lintzmayer","LINTZMAYER, C. N.","1","5892586921365513",53,,,
"Zanoni Dias","DIAS, Z.","2","",53,,,
"Carla Negri Lintzmayer","LINTZMAYER, C. N.","1","5892586921365513",54,,,
"Zanoni Dias","DIAS, Z.","2","",54,,,
"Carla Negri Lintzmayer","LINTZMAYER, C. N.","1","5892586921365513",55,,,
"Zanoni Dias","DIAS, Z.","2","",55,,,
"Thiago da Silva Arruda","Arruda, T. S.","1","4408949874393794",56,,,
"Ulisses Martins Dias","DIAS, U.","2","4926594438458702",56,,,
"Zanoni Dias","DIAS, Z.","3","",56,,,
"Ulisses Dias","U. Dias","1","4926594438458702",57,,,
"Andre Rodrigues Oliveira","OLIVEIRA, A. R.","2","9814400643053681",57,,,
"Zanoni Dias","DIAS, Z.","3","",57,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",58,,,
"Zanoni Dias","DIAS, Z.","2","",58,,,
"Christian Baudet","BAUDET, C.","1","2331553018873575",59,,,
"Ulisses Martins Dias","DIAS, U.","2","4926594438458702",59,,,
"Zanoni Dias","DIAS, Z.","3","",59,,,
"Alberto Arruda de Oliveira","OLIVEIRA, A. A.","1","",60,,,
"Pasquale Ferrara","FERRARA, P.","2","",60,,,
"Alessia De Rosa","ROSA, A.","3","",60,,,
"Alessandro Piva","PIVA, A.","4","",60,,,
"Mauro Barni","BARNI, M.","5","",60,,,
"Siome Goldenstein","Goldenstein, S.","6","3575273076267374",60,,,
"Zanoni Dias","DIAS, Z.","7","",60,,,
"Anderson Rocha","ROCHA, A.","8","1521815731111261",60,,,
"Gustavo Rodrigues Galvão","GALVAO, G. R.","1","7906213363972554",61,,,
"Christian Baudet","BAUDET, C.","2","2331553018873575",61,,,
"Zanoni Dias","DIAS, Z.","3","",61,,,
"Filipe de Oliveira Costa","COSTA, F. O.","1","9296763269153204",62,,,
"Silvia LAMERI","LAMERI, S.","2","",62,,,
"Paolo BESTAGINI","BESTAGINI, P.","3","",62,,,
"Zanoni Dias","DIAS, Z.","4","",62,,,
"Anderson Rocha","ROCHA, A.","5","1521815731111261",62,,,
"Marco Tagliasacchi","TAGLIASACCHI, M.","6","",62,,,
"Stefano Tubaro","TUBARO, S.","7","",62,,,
"GALVÃO, GUSTAVO RODRIGUES","GALVÃO, GUSTAVO RODRIGUES","1","7906213363972554",63,,,
"Zanoni Dias","DIAS, Z.","2","",63,,,
"Filipe de Oliveira Costa","COSTA, F. O.","1","9296763269153204",64,,,
"Silvia LAMERI","LAMERI, S.","2","",64,,,
"Paolo BESTAGINI","BESTAGINI, P.","3","",64,,,
"Zanoni Dias","DIAS, Z.","4","",64,,,
"Stefano Tubaro","TUBARO, S.","5","",64,,,
"Anderson Rocha","ROCHA, A.","6","1521815731111261",64,,,
"Ulisses Martins Dias","DIAS, U.","1","4926594438458702",65,,,
"Christian Baudet","BAUDET, C.","2","2331553018873575",65,,,
"Zanoni Dias","Dias, Z.","3","",65,,,
"Guilherme P. Telles","TELLES, G. P.","1","9783560852644016",,0,,
"Marília D.V. Braga","BRAGA, M. D. V.","2","0188019824603585",,0,,
"Zanoni Dias","DIAS, Z.","3","",,0,,
"Tzy-Li, Lin","Tzy-Li, Lin","4","0781488945777221",,0,,
"José A. A. Quitzau","QUITZAU, J. A. A.","5","",,0,,
"Felipe R. da Silva","SILVA, F. R.","6","5098407619682182",,0,,
"João Meidanis","MEIDANIS, J.","7","1313385414995585",,0,,
"João Meidanis","MEIDANIS, J.","1","1313385414995585",,1,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","2","0216229039021964",,1,,
"Zanoni Dias","Dias, Z.","3","",,1,,
