NATUREZA,TITULO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Relatório Técnico","The Genome Rearrangement Distance Problems with Arbitrary Weights","2002","Brasil","Inglês","IMPRESSO","http://www.ic.unicamp.br/reltec-ftp/2002/Titles.html","NAO","","","","NAO",0
"Relatório Técnico","Um algoritmo para identificação de correlações múltiplas de polimorfismos","2006","Brasil","Português","IMPRESSO","http://www.ic.unicamp.br/reltec-ftp/2006/Titles.html","NAO","","","","NAO",1
"Relatório Técnico","New EST trimming strategy","2005","Brasil","Inglês","IMPRESSO","http://www.ic.unicamp.br/reltec-ftp/2005/Titles.html","NAO","","","","NAO",2
"Relatório Técnico","Analysis of slipped sequences in ESTs Projects","2005","Brasil","Inglês","IMPRESSO","http://www.ic.unicamp.br/reltec-ftp/2005/Titles.html","NAO","","","","NAO",3
"Relatório Técnico","Genome rearrangements distance by fusion, fission, and transposition is easy","2001","Brasil","Inglês","IMPRESSO","http://www.ic.unicamp.br/reltec-ftp/2001/Titles.html","NAO","","","","NAO",4
"Relatório Técnico","Reversal distance of signed circular chromosomes","2000","Brasil","Inglês","IMPRESSO","","NAO","","","","NAO",5
"Relatório Técnico","A lower bound on the reversal and transposition diameter","2000","Brasil","Inglês","IMPRESSO","http://www.ic.unicamp.br/reltec-ftp/2000/Titles.html","NAO","","","","NAO",6
"Relatório Técnico","Partial Enumeration of Traces of Solutions for the Problem of Sorting by Signed Reversals","2011","Brasil","Português","NAO_INFORMADO","","NAO","","","","NAO",7
"Relatório Técnico","Signal processing analysis applied to image phylogeny","2014","Brasil","Inglês","MEIO_DIGITAL","","NAO","","","","NAO",8
"Relatório Técnico","New Dissimilarity Measures for Image Phylogeny Reconstruction","2015","Brasil","Inglês","MEIO_DIGITAL","","NAO","","","","NAO",9
"Relatório Técnico","Problema da Ordenação Ponderada por Reversões e Transposições","2016","Brasil","Português","MEIO_DIGITAL","","NAO","","","","NAO",10
"Relatório Técnico","Comparação de métodos para determinação de SNPs com medidas de confiabilidade","2006","Brasil","Português","IMPRESSO","http://www.ic.unicamp.br/reltec-ftp/2006/Titles.html","NAO","","","","NAO",11
