DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Qualis CIA.","",0,,
"Qualis CNB.","",1,,
"Qualis CIA.","",2,,
"Qualis CIA.","",3,,
"Qualis CIA.","",4,,
"Qualis CIA.","",5,,
"Qualis CNB.","",6,,
"Editores:
João Carlos Setubal
Sergio Verjovski-Almeida

Apresentado em julho de 2005.

Vinculada a dissertação de mestrado de Miguel Galves (IC-Unicamp).

Quailis CNB.","",7,,
"Editores:
João Carlos Setubal
Sergio Verjovski-Almeida

Apresentado em julho de 2005.

Vinculada a dissertação de mestrado de Christian Baudet (IC-Unicamp).

Qualis CNB.","",8,,
"Apresentado em outubro de 2005.

Vinculada a dissertação de mestrado de Christian Baudet (IC-Unicamp).","",9,,
"Apresentado em outubro de 2005.

Vinculada a dissertação de mestrado de Miguel Galves (IC-Unicamp).","",10,,
"Apresentado em agosto de 2006.

Vinculada a dissertação de mestrado de Christian Baudet (IC-Unicamp).","",11,,
"Apresentado em agosto de 2006.

Vinculada a dissertação de mestrado de Christian Baudet (IC-Unicamp).","",12,,
"Editores:
Marie-France Sagot
Maria Emilia M. T. Walter

Apresentado em agosto de 2007.

Vinculada a dissertação de mestrado de Christian Baudet (IC-Unicamp).

Qualis CNB.","",13,,
"Apresentado em agosto de 2007.

Qualis CNB.","",14,,
"Apresentado em setembro de 2007.","",15,,
"Apresentado em setembro de 2007.

Vinculada a dissertação de mestrado de Miguel Galves (IC-Unicamp).","",16,,
"Quailis PIB.","",,0,
"Qualis PIA.","",,1,
"Publicado em abril de 2006.

Vinculada a dissertação de mestrado de Christian Baudet (IC-Unicamp).

Qualis PIC.","",,3,
"Publicado em abril de 2006.

Vinculada a dissertação de mestrado de Miguel Galves (IC-Unicamp).

Qualis PIC.","",,4,
"IC-02-01","",,,0
"IC-06-14","",,,1
"IC-05-09","",,,2
"IC-05-29","",,,3
"IC-01-07","",,,4
"IC-00-23","",,,5
"IC-00-16","",,,6
"IC-06-15","",,,11
