PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Biologia Molecular Computacional","Rearranjo de Genomas","Coletânea de Artigos","","","",0,,,,,,,,,,,,,,
"Ciência da Computação","","","","","",,0,,,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,0,,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,1,,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,2,,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,3,,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,4,,,,,,,,,,,,
"Rearranjo de Genomas","","","","","",,,5,,,,,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,6,,,,,,,,,,,,
"Bioinformática","Biologia Molecular Computacional","Alinhamento de Sequências","","","",,,7,,,,,,,,,,,,
"Bioinformática","Projeto EST","Biologia Molecular Computacional","","","",,,8,,,,,,,,,,,,
"Projeto EST","Bioinformática","","","","",,,9,,,,,,,,,,,,
"Polimorfismos","Bioinformática","","","","",,,10,,,,,,,,,,,,
"Bioinformática","","","","","",,,15,,,,,,,,,,,,
"Bioinformática","Polimorfismos","","","","",,,16,,,,,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,17,,,,,,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,18,,,,,,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,19,,,,,,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,20,,,,,,,,,,,,
"Bioinformática","Montagem de Genomas","","","","",,,21,,,,,,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,22,,,,,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,23,,,,,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,24,,,,,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,25,,,,,,,,,,,,
"Alinhamento Múltiplo de Sequências","","","","","",,,26,,,,,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,27,,,,,,,,,,,,
"Bioinformática","Biologia Molecular Computacional","Rearranjo de Genomas","","","",,,28,,,,,,,,,,,,
"Rearranjo de Genomas","Biologia Molecular Computacional","","","","",,,29,,,,,,,,,,,,
"Rearranjo de Genomas","Bioinformática","","","","",,,30,,,,,,,,,,,,
"Reconstrução de Filogenia de Imagens","","","","","",,,31,,,,,,,,,,,,
"Biologia Molecular Computacional","Rearranjo de Genomas","","","","",,,32,,,,,,,,,,,,
