NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"João Meidanis","MEIDANIS, J.","1","1313385414995585",0,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","3","0216229039021964",0,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",0,,
"João Meidanis","MEIDANIS, J.","1","1313385414995585",1,,
"Estela Maris Rodrigues","RODRIGUES, E. M.","3","",1,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",1,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","1","0216229039021964",2,,
"Natália Florêncio Martins","MARTINS, N. F., N. F.","3","",2,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",2,,
"João Meidanis","MEIDANIS, J.","1","1313385414995585",3,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","3","0216229039021964",3,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",3,,
"Arnaldo Vieira Moura","MOURA, A. V.","1","",4,,
"Eduardo Camponogara","Camponogara, E.","3","",4,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","2","1789677069372972",4,,
"João Meidanis","MEIDANIS, J.","1","1313385414995585",5,,
"Fabiano Lopes Thompson","Thompson, F. L.","2","",5,,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","3","1789677069372972",5,,
"Zanoni Dias","Dias, Z.","3","",6,,
"Marília D.V. Braga","BRAGA, M. D. V.","2","0188019824603585",6,,
"João Meidanis","MEIDANIS, J.","1","1313385414995585",6,,
"Zanoni Dias","Dias, Z.","2","",7,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","1","0216229039021964",7,,
"Norai Romeu Rocco","ROCCO, N. R.","3","",7,,
"Zanoni Dias","DIAS, Z.","3","",8,,
"Cid Carvalho de Souza","SOUZA, C. C.","1","",8,,
"Carlile Campos Lavor","LAVOR, C. C.","2","",8,,
"Zanoni Dias","DIAS, Z.","3","",9,,
"Guilherme P. Telles","TELLES, G. P.","1","9783560852644016",9,,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","2","0216229039021964",9,,
"João Meidanis","MEIDANIS, J.","1","1313385414995585",,0,
"Maria Emília Machado Telles Walter","WALTER, M. E. M. T.","2","0216229039021964",,0,
"Cid Carvalho de Souza","SOUZA, C. C.","4","",,0,
"Celina M. H. de Figueiredo","Figueiredo, C. M. H.","3","",,0,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","5","1789677069372972",,0,
"Carlos Alberto de Braganca Pereira","Pereira, C. A. B.","1","",,1,
"Heleno Bolfarine","Bolfarine, H.","2","",,1,
"Paulo Sergio Lopes de Oliveira","Oliveira, P. S. L.","3","",,1,
"Eloísa Helena Tajara da SIlva","Silva, E. H. T.","4","",,1,
"Zanoni Dias","DIAS, Z.;Dias, Z.;Dias, Zanoni","5","1789677069372972",,1,
"Zanoni Dias","Dias, Z.","5","",,2,
"José Augusto Ramos Soares","Soares, J. A. R.","1","",,2,
"Carlos Eduardo Ferreira","Ferreira, C. E.","2","",,2,
"Fábio Henrique Viduani Martinez","Martinez, F. H. V.","3","",,2,
"Luiz Carlos da Silva Rozante","Rozante, L. C. S.","4","",,2,
"Zanoni Dias","DIAS, Z.","4","",,3,
