NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,RELATORIO-DE-PESQUISA_Id
"Adailton Magalhães Lima","LIMA, Adailton Magalhães","1","3179032920191179",0,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","2","",0,,,,,
"Carla Alessandra Lima reis","Lima REIS, Carla Alessandra","3","1614538302774823",0,,,,,
"Rodrigo Quites Reis","REIS, Rodrigo Quites","4","9839778710074372",0,,,,,
"Anderson Jorge Serra da Costa","COSTA, A. J. S.","5","7707885586024191",0,,,,,
"Adailton Magalhães Lima","LIMA, Adailton Magalhães","1","3179032920191179",1,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","2","",1,,,,,
"Marcelo Almeida da Silva","SILVA, Marcelo Almeida da","3","",1,,,,,
"Rodrigo Quites Reis","REIS, Rodrigo Quites","4","9839778710074372",1,,,,,
"Carla Alessandra Lima reis","Lima REIS, Carla Alessandra","5","1614538302774823",1,,,,,
"Heribert Schlebbe","Schlebbe, H","6","",1,,,,,
"Weverton Luís da Costa Cordeiro","CORDEIRO, W. L. C.","1","0458322041606755",2,,,,,
"Rafael Pereira Esteves","ESTEVES, Rafael Pereira","2","5608319851764384",2,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","3","",2,,,,,
"Cleidson Ronald Botelho de Souza","DE SOUZA, C. R. B.","4","6490014244112888",2,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",3,,,,,
"Rodrigo Quites Reis","REIS, Rodrigo Quites","2","9839778710074372",3,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",4,,,,,
"Rodrigo Quites Reis","REIS, Rodrigo Quites","2","9839778710074372",4,,,,,
"Priscilla Lanne Cordeiro de Leão","Leão, Priscilla Lanne Cordeiro de","1","",5,,,,,
"Carla Alessandra Lima reis","Lima REIS, Carla Alessandra","2","1614538302774823",5,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","3","",5,,,,,
"Joseane Viana","Viana, Joseane","4","",5,,,,,
"Márcio Braga","Braga, Márcio","5","",5,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",6,,,,,
"Adailton Magalhães Lima","LIMA, Adailton Magalhães","2","3179032920191179",6,,,,,
"Anderson Jorge Serra da Costa","COSTA, A. J. S.","3","7707885586024191",6,,,,,
"Ernani de Oliveira Sales","Sales, Ernani de Oliveira","4","7404366404871006",6,,,,,
"Rodrigo Quites Reis","REIS, Rodrigo Quites","5","9839778710074372",6,,,,,
"Carla Alessandra Lima reis","Lima REIS, Carla Alessandra","6","1614538302774823",6,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",7,,,,,
"Rodrigo Quites Reis","REIS, Rodrigo Quites","2","9839778710074372",7,,,,,
"Luciana Maria Azevedo Nascimento","Nascimento, Luciana M. A.","1","5071693801423500",8,,,,,
"Rodrigo Quites Reis","REIS, Rodrigo Quites","2","9839778710074372",8,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","3","",8,,,,,
"Anderson Jorge Serra da Costa","COSTA, A. J. S.","4","7707885586024191",8,,,,,
"Breno Bernard Nicolau de França","de França, B. B. N.","1","",9,,,,,
"Ernani de Oliveira Sales","Sales, Ernani de Oliveira","2","7404366404871006",9,,,,,
"Carla Alessandra Lima reis","Lima REIS, Carla Alessandra","3","1614538302774823",9,,,,,
