PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,RELATORIO-DE-PESQUISA_Id
"Engenharia de Software","Processo de Software","Simulação de Processo de Software","","","",0,,,,
"Experimental Software Engineering","Computer Simulation","Planning and Reporting Guidelines","","","",,0,,,
"Engenharia de Software","Gestão de Processo de Software","Métricas de Software","","","",,,8,,
"WebAPSEE","Implantação de Processo de Software","Gestão de Processo de Software","","","",,,9,,
"Focus Group","Experimental Software Engineering","","","","",,,13,,
"DevOps","Software Development and Operations","Multivocal Literature Review","Grounded Theory","","",,,15,,
"Continuous Planning","Continuous Software Engineering","","","","",,,16,,
"Computer Simulation","Software Engineering","Systematic Review","","","",,,,0,
"Simulation Based Study","simulation models","threats to validity","Experimental Software Engineering","","",,,,1,
"Engenharia de Software","Processo de Software","Execução de Processo de Software","","","",,,,,0
"Engenharia de Software","Processo de Software","Simulação de Processo de Software","","","",,,,,2
