NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",0,,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",1,,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",2,,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",3,,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",4,,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",5,,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",6,,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,0,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,1,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,0,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,1,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,2,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,3,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,4,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,5,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,6,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,,0
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,,1
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,,2
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.;de França, B. B. N.;DE FRANÇA, BRENO BERNARD NICOLAU","1","1827990606590127",,,,3
