AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id
0,0,,,,,,,,,,,,,,,,,,,,
1,,0,,,,,,,,,,,,,,,,,,,
2,,,1,,,,,,,,,,,,,,,,,,
3,,,2,,,,,,,,,,,,,,,,,,
4,,,,0,,,,,,,,,,,,,,,,,
5,,,,,1,,,,,,,,,,,,,,,,
6,,,,,2,,,,,,,,,,,,,,,,
7,,,,,4,,,,,,,,,,,,,,,,
8,,,,,5,,,,,,,,,,,,,,,,
9,,,,,6,,,,,,,,,,,,,,,,
10,,,,,7,,,,,,,,,,,,,,,,
11,,,,,15,,,,,,,,,,,,,,,,
12,,,,,20,,,,,,,,,,,,,,,,
13,,,,,21,,,,,,,,,,,,,,,,
14,,,,,22,,,,,,,,,,,,,,,,
15,,,,,23,,,,,,,,,,,,,,,,
16,,,,,26,,,,,,,,,,,,,,,,
17,,,,,27,,,,,,,,,,,,,,,,
18,,,,,28,,,,,,,,,,,,,,,,
19,,,,,29,,,,,,,,,,,,,,,,
20,,,,,30,,,,,,,,,,,,,,,,
21,,,,,31,,,,,,,,,,,,,,,,
22,,,,,32,,,,,,,,,,,,,,,,
23,,,,,33,,,,,,,,,,,,,,,,
24,,,,,34,,,,,,,,,,,,,,,,
25,,,,,35,,,,,,,,,,,,,,,,
26,,,,,36,,,,,,,,,,,,,,,,
27,,,,,37,,,,,,,,,,,,,,,,
28,,,,,38,,,,,,,,,,,,,,,,
29,,,,,39,,,,,,,,,,,,,,,,
30,,,,,40,,,,,,,,,,,,,,,,
31,,,,,41,,,,,,,,,,,,,,,,
32,,,,,42,,,,,,,,,,,,,,,,
33,,,,,43,,,,,,,,,,,,,,,,
34,,,,,44,,,,,,,,,,,,,,,,
35,,,,,45,,,,,,,,,,,,,,,,
36,,,,,46,,,,,,,,,,,,,,,,
37,,,,,47,,,,,,,,,,,,,,,,
38,,,,,48,,,,,,,,,,,,,,,,
39,,,,,49,,,,,,,,,,,,,,,,
40,,,,,50,,,,,,,,,,,,,,,,
41,,,,,51,,,,,,,,,,,,,,,,
42,,,,,52,,,,,,,,,,,,,,,,
43,,,,,53,,,,,,,,,,,,,,,,
44,,,,,54,,,,,,,,,,,,,,,,
45,,,,,55,,,,,,,,,,,,,,,,
46,,,,,56,,,,,,,,,,,,,,,,
47,,,,,57,,,,,,,,,,,,,,,,
48,,,,,58,,,,,,,,,,,,,,,,
49,,,,,59,,,,,,,,,,,,,,,,
50,,,,,60,,,,,,,,,,,,,,,,
51,,,,,61,,,,,,,,,,,,,,,,
52,,,,,62,,,,,,,,,,,,,,,,
53,,,,,64,,,,,,,,,,,,,,,,
54,,,,,65,,,,,,,,,,,,,,,,
55,,,,,66,,,,,,,,,,,,,,,,
56,,,,,67,,,,,,,,,,,,,,,,
57,,,,,69,,,,,,,,,,,,,,,,
58,,,,,96,,,,,,,,,,,,,,,,
59,,,,,112,,,,,,,,,,,,,,,,
60,,,,,,0,,,,,,,,,,,,,,,
61,,,,,,7,,,,,,,,,,,,,,,
62,,,,,,8,,,,,,,,,,,,,,,
63,,,,,,9,,,,,,,,,,,,,,,
64,,,,,,10,,,,,,,,,,,,,,,
65,,,,,,11,,,,,,,,,,,,,,,
66,,,,,,12,,,,,,,,,,,,,,,
