NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id
"Tese de doutorado","Método Galerkin Discontínuo aplicado a problemas de convecção difusão","2003","Brasil","Português","http://labmec.fec.unicamp.br","NAO","","",0
"Tese de doutorado","Paralelização de métodos adaptativos","2002","Brasil","Português","http://labmec.fec.unicamp.br","NAO","","",1
"Tese de doutorado","Um Sistema de Refinamento H-P Adaptativo Utilizando Elementos Finitos Hierarquicos Multidimensionais","2000","Brasil","Português","http://labmec.fec.unicamp.br/~cedric/","NAO","","",2
"Tese de doutorado","O Método de Galerkin Descontínuo com Difusividade Implicita e h-adaptabilidade Baseada em Técnicas Wavelets","2002","Brasil","Português","","NAO","","",3
"Tese de doutorado","Tecnica de Mult-Grid Aplicada Ao Metodo dos Elementos Finitos","1996","Brasil","Português","","NAO","","",4
"Tese de doutorado","Modelos constitutivos para materiais de meios porosos","2005","Brasil","Português","","NAO","","",5
"Tese de doutorado","ADAPTATIVIDADE HP EM PARALELO","2007","Brasil","Português","","NAO","","",6
"Tese de doutorado","Novas Formulações de Elementos Finitos e Simulação Multifísica","2014","Brasil","Português","","NAO","","",7
"Tese de doutorado","Espaços de elementos finitos de alta ordem do tipo HDiv e HCurl","2012","Brasil","Português","","NAO","","",8
"Tese de doutorado","Development of a surrogate multiscale reservoir simulator coupled with geomechanics","2017","Brasil","Inglês","","NAO","","",9
"Tese de doutorado","Modelagem Elasto Plástica Aplicada a Estabilidade Numérica de Estabilidade de Poços de Petróleo","2014","Brasil","Bretão","","NAO","","",10
"Tese de doutorado","Aplicações dos métodos de elementos finitos contínuo e Galerkin descontínuo combinados","2010","Brasil","Português","","NAO","","",11
"Tese de doutorado","Simulação Computacional de Propagação de Fraturas em Meios Porosos","2015","Brasil","Português","","NAO","","",12
"Tese de doutorado","Indicadores de Erro a Posteriori na Aproximação de Funcionais de Soluções de Problemas Elípticos no Contexto do Método de Galerkin Descontínuo hp -Adaptativo","2011","Brasil","Português","","NAO","","",13
