NATUREZA,TITULO,ANO,PAIS,MEIO-DE-DIVULGACAO,IDIOMA,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-TECNICA_Id
"Reatório Técnico","Visita ao Pólo científico Avions Marcel Dessault (AMD)","2000","França","IMPRESSO","Inglês","","NAO","","","","NAO",0
"Entidades Científicas","Editor da página www da Associação Brasileira de Mecânica Computacional","1999","Brasil","MEIO_DIGITAL","Português","","NAO","","","","NAO",1
"Entidades Científicas","Secretário da Sociedade Brasileira de Matemática Aplicada e Computacionaledade Brasileir","1999","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",2
"Entidades Científicas","Membro do Conselho Consultivo da ABMEC - Associação Brasileira de Mecânica Computational","2002","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",3
"Entidades Científicas","Membro do Conselho Editorial da PUC Minas","2002","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",4
"Entidades Científicas","Assessor Técnico do FAEP (Fundo de Apoio ao Ensino e Pesquisa)","2002","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",5
"Viagem técnica/estudo","trabalho com vector-computador CYBER 205 do National Science Fundation","1983","Estados Unidos","NAO_INFORMADO","Português","","NAO","","","","NAO",6
"Viagem técnica/estudo","Workshop on Numerical Weather Prediction","1988","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",7
"Viagem técnica/estudo","Trabalho com métodos adaptativos, vectorizaçäo e algoritmos paralelos","1989","Estados Unidos","NAO_INFORMADO","Inglês","","NAO","","","","NAO",8
"Viagem técnica/estudo","Desenvolvimento de Modelos de Escoamentos Turbulentos de Fluídos Compressíveis Transônicos","1990","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",9
"Viagem técnica/estudo","Desenvolvimento de Algoritmos Co-rotacionais para dinâmica estrutural","1998","Bélgica","NAO_INFORMADO","Francês","","NAO","","","","NAO",10
"Entidades Científicas","Consultor "ad-hoc" de projetos de pesquisa da Universidade Federal do Rio Grande do Norte","2004","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",11
"Viagem técnica/estudo","Visita ao Institute for Computational Engineering and Sciences","2006","Estados Unidos","NAO_INFORMADO","Inglês","","NAO","","","","NAO",12
"Entidades Científicas","Presidente da ABMEC - Associação Brasileira de Mecânica Computational","1999","Brasil","NAO_INFORMADO","Português","","NAO","","","","NAO",13
